School,Small School,Locality,"Number of VCE, VCE Vocational Major (VM) studies and VCE VET programs at Units 3 and 4 level with enrolments ",Number of Vocational Education and Training (VET) certificates with enrolments,Number of Higher Education studies (HES) with enrolments,Enrolment(s) in VCE Vocational Major (VM) unit(s)​,Enrolment(s) in the Victorian Pathways Certificate (VPC),Enrolment(s) in the International Baccalaureate (IB) Diploma,Enrolment(s) in Northern Hemisphere Timetable (NHT) delivery at Units 3 and 4 level ​,Number of students enrolled in at least one VCE or VCE Vocational Major (VM) study or VCE VET program at Units 3 and 4 level,Number of students enrolled in a Vocational Education and Training (VET) certificate,Number of students enrolled in an School-based Apprenticeship or Traineeship (SBAT),Number of students enrolled in a Higher Education study (HES),Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Number of students awarded the VCE Vocational Major (VM),Number of students awarded the VCE (Baccalaureate),Percentage of Vocational Education and Training (VET) units of competency completed,Percentage of Higher Education studies (HES) completed,Median VCE study score,Percentage of study scores of 40 and over,Number of students awarded the Victorian Pathways Certificate (VPC),SchoolName_clean,ACARA SML ID,Location AGE ID,School AGE ID,Rolled School ID,School Name,Suburb,State,Postcode,School Sector,School Type,Special school,Campus Type,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name,Calendar Year,ACARA SML ID_profile,Location AGE ID_profile,School AGE ID_profile,School Name_profile,Suburb_profile,State_profile,Postcode_profile,School Sector_profile,School Type_profile,Campus Type_profile,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%)
Colac Secondary College,,COLAC,29,21,-,Y,Y,,,79,57,15,-,33.3,93,9,-,79,-,23,0,-,COLAC SECONDARY COLLEGE,45593,54855.0,14855.0,45593,Colac Secondary College,COLAC,VIC,3250,Government,Secondary,0,School Single Entity,-38.35149548,143.59010207,1,Inner Regional,20133210000,21703147223,217031472,Colac,21703,Colac - Corangamite,217,Warrnambool and South West,21750,Colac Otway,26808,Polwarth (Western Victoria),238,Wannon,2024,45593,54855.0,14855.0,Colac Secondary College,Colac,VIC,3250,Government,Secondary,School Head Campus,Individual Reporting,http://www.colac-sc.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Inner Regional,952.0,25.0,54.0,30.0,13.0,3.0,56.0,46.7,26.0,19.7,471.0,220.0,251.0,469.0,2.0,3.0,96.0,1.0
Collingwood College,,FITZROY NORTH,54,19,-,Y,Y,,,99,62,-,-,63.8,86,6,4,57,-,28,4,4,COLLINGWOOD COLLEGE,45296,46259.0,6259.0,45296,Collingwood College,COLLINGWOOD,VIC,3066,Government,Combined,0,School Head Campus,-37.802985,144.990497,0,Major Cities,20639680000,20607114106,206071141,Collingwood,20607,Yarra,206,Melbourne - Inner,27350,Yarra,27103,Richmond (Northern Metropolitan),233,Melbourne,2024,45296,46259.0,6259.0,Collingwood College,Collingwood,VIC,3066,Government,Combined,School Head Campus,Rolled Reporting,http://www.collingwood.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-12,Major Cities,1039.0,64.0,26.0,20.0,27.0,27.0,87.0,73.8,51.0,32.9,723.0,345.0,378.0,723.0,2.0,47.0,53.0,0.0
Copperfield College,,DELAHEY,63,34,9,Y,Y,,,395,341,< 4,11,62.6,92,51,5,76,100,27,2.1,-,COPPERFIELD COLLEGE,40689,57411.0,17411.0,40689,Copperfield College,DELAHEY,VIC,3037,Government,Secondary,0,School Head Campus,-37.719607,144.772454,0,Major Cities,20078760000,21301133102,213011331,Delahey,21301,Brimbank,213,Melbourne - West,21180,Brimbank,28107,Sydenham (Western Metropolitan),218,Gorton,2024,40689,57411.0,17411.0,Copperfield College,Delahey,VIC,3037,Government,Secondary,School Head Campus,Rolled Reporting,http://www.copperfieldcollege.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Major Cities,955.0,26.0,53.0,29.0,13.0,4.0,176.0,157.6,98.0,71.2,1909.0,912.0,997.0,1909.0,1.0,59.0,41.0,0.0
Cornish College,,BANGHOLME,38,11,2,,,,,145,23,-,< 4,92.2,100,-,6,96,I/D,30,6.8,-,CORNISH COLLEGE,50513,69729.0,29729.0,50513,Cornish College,BANGHOLME,VIC,3175,Independent,Combined,0,School Single Entity,-38.048641,145.150451,0,Major Cities,20631942600,21204156616,212041566,Keysborough - South,21204,Dandenong,212,Melbourne - South East,22670,Greater Dandenong,25205,Mordialloc (South-Eastern Metropolitan),224,Isaacs,2024,50513,69729.0,29729.0,Cornish College,Bangholme,VIC,3175,Independent,Combined,School Single Entity,Individual Reporting,http://www.cornishcollege.vic.edu.au,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Major Cities,1104.0,85.0,6.0,21.0,34.0,39.0,78.0,65.5,61.0,47.8,668.0,322.0,346.0,668.0,0.0,8.0,92.0,0.0
Corryong College,,CORRYONG,28,14,2,Y,Y,,,32,41,9,< 4,27.3,100,11,-,73,I/D,31,5.6,< 4,CORRYONG COLLEGE,45576,51663.0,11663.0,45576,Corryong College,CORRYONG,VIC,3707,Government,Combined,0,School Single Entity,-36.192938,147.910757,2,Outer Regional,20568350000,20403107204,204031072,Towong,20403,Wodonga - Alpine,204,Hume,26670,Towong,20604,Benambra (Northern Victoria),223,Indi,2024,45576,51663.0,11663.0,Corryong College,Corryong,VIC,3707,Government,Combined,School Single Entity,Individual Reporting,http://www.corryong.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-12,Outer Regional,964.0,30.0,46.0,31.0,18.0,5.0,42.0,31.0,25.0,13.9,272.0,142.0,130.0,267.2,5.0,3.0,94.0,2.0
Covenant College,,BELL POST HILL,36,18,2,Y,,,,96,30,< 4,< 4,70.4,100,9,< 4,92,I/D,29,3,-,COVENANT COLLEGE,46257,42458.0,2458.0,46257,Covenant College,BELL POST HILL,VIC,3215,Independent,Combined,0,School Single Entity,-38.0976,144.318015,0,Major Cities,20238220000,20302104736,203021047,North Geelong - Bell Park,20302,Geelong,203,Geelong,22750,Greater Geelong,24208,Lara (Western Victoria),210,Corio,2024,46257,42458.0,2458.0,Covenant College,Bell Post Hill,VIC,3215,Independent,Combined,School Single Entity,Individual Reporting,http://www.covenant.vic.edu.au,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Major Cities,1067.0,75.0,13.0,30.0,30.0,27.0,82.0,64.0,84.0,55.5,717.0,352.0,365.0,715.2,1.0,12.0,88.0,0.0
Craigieburn Secondary College,,CRAIGIEBURN,35,9,-,Y,,,,283,159,-,-,76,96,33,< 4,82,-,21,0.7,-,CRAIGIEBURN SECONDARY COLLEGE,45496,46174.0,6174.0,45496,Craigieburn Secondary College,CRAIGIEBURN,VIC,3064,Government,Secondary,0,School Single Entity,-37.60861754,144.93558169,0,Major Cities,20296490000,21005144318,210051443,Craigieburn - South,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,23270,Hume,23503,Greenvale (Northern Metropolitan),205,Calwell,2024,45496,46174.0,6174.0,Craigieburn Secondary College,Craigieburn,VIC,3064,Government,Secondary,School Single Entity,Individual Reporting,http://www.craigieburnsc.vic.edu.au/,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Major Cities,921.0,15.0,63.0,24.0,11.0,2.0,95.0,89.0,75.0,56.6,1027.0,463.0,564.0,1026.3,1.0,69.0,31.0,0.0
Cranbourne Secondary College,,CRANBOURNE,54,31,-,Y,,,,304,255,< 4,-,67,97,68,-,87,-,24,0.3,-,CRANBOURNE SECONDARY COLLEGE,45372,52225.0,12225.0,45372,Cranbourne Secondary College,CRANBOURNE,VIC,3977,Government,Secondary,0,School Single Entity,-38.108126,145.286641,0,Major Cities,20631932100,21203130017,212031300,Cranbourne,21203,Casey - South,212,Melbourne - South East,21610,Casey,22005,Cranbourne (South-Eastern Metropolitan),221,Holt,2024,45372,52225.0,12225.0,Cranbourne Secondary College,Cranbourne,VIC,3977,Government,Secondary,School Single Entity,Individual Reporting,http://www.cranbournesc.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Major Cities,931.0,18.0,63.0,24.0,10.0,3.0,121.0,110.8,88.0,65.0,1203.0,605.0,598.0,1203.0,2.0,50.0,49.0,1.0
Croydon Community School,*,CROYDON,11,15,-,Y,Y,,,18,28,< 4,-,9.1,82,9,-,87,-,-,-,< 4,CROYDON COMMUNITY SCHOOL,45374,48446.0,8446.0,45374,Croydon Community School,CROYDON,VIC,3136,Government,Secondary,0,School Head Campus,-37.7893876,145.2807261,0,Major Cities,20382810000,21103145110,211031451,Croydon - West,21103,Maroondah,211,Melbourne - Outer East,24410,Maroondah,22102,Croydon (North-Eastern Metropolitan),211,Deakin,2024,45374,48446.0,8446.0,Croydon Community School,Croydon,VIC,3136,Government,Secondary,School Head Campus,Rolled Reporting,http://www.croydoncs.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Major Cities,983.0,39.0,43.0,27.0,17.0,13.0,28.0,25.7,29.0,22.8,157.0,63.0,94.0,157.0,9.0,3.0,97.0,1.0
Damascus College,,MOUNT CLEAR,58,39,-,Y,Y,,Y,232,238,< 4,-,63.9,99,28,< 4,81,-,29,3.7,-,DAMASCUS COLLEGE,45679,54006.0,14006.0,45679,Damascus College,MOUNT CLEAR,VIC,3350,Catholic,Secondary,0,School Single Entity,-37.611456,143.870347,1,Inner Regional,20014110000,20101148302,201011483,Canadian - Mount Clear,20101,Ballarat,201,Ballarat,20570,Ballarat,22608,Eureka (Western Victoria),202,Ballarat,2024,45679,54006.0,14006.0,Damascus College,Mount Clear,VIC,3350,Catholic,Secondary,School Head Campus,Individual Reporting,http://www.damascus.vic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,7-12,Inner Regional,1056.0,70.0,16.0,33.0,30.0,21.0,115.0,103.2,65.0,55.0,1193.0,656.0,537.0,1193.0,1.0,2.0,98.0,0.0
Dandenong High School,,DANDENONG,60,21,-,Y,Y,,,313,113,< 4,-,72.5,95,27,5,77,-,25,1.7,12,DANDENONG HIGH SCHOOL,45588,46230.0,6230.0,45588,Dandenong High School,DANDENONG,VIC,3175,Government,Secondary,0,School Head Campus,-37.979418,145.209011,0,Major Cities,20222560000,21204156304,212041563,Dandenong - North,21204,Dandenong,212,Melbourne - South East,22670,Greater Dandenong,22205,Dandenong (South-Eastern Metropolitan),204,Bruce,2024,45588,46230.0,6230.0,Dandenong High School,Dandenong,VIC,3175,Government,Secondary,School Head Campus,Rolled Reporting,https://www.dandenong-hs.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Major Cities,896.0,10.0,71.0,16.0,10.0,3.0,154.0,141.0,90.0,70.8,1404.0,693.0,711.0,1404.0,1.0,91.0,9.0,0.0
Darul Ulum College of Victoria,,FAWKNER,17,1,-,,,,,148,65,-,-,59.4,100,-,-,100,-,31,7.3,-,DARUL ULUM COLLEGE OF VICTORIA,46345,56008.0,16008.0,46345,Darul Ulum College of Victoria,FAWKNER,VIC,3060,Independent,Combined,0,School Head Campus,-37.705621,144.971191,0,Major Cities,20473350000,21003123721,210031237,Fawkner,21003,Moreland - North,210,Melbourne - North West,24700,Merri-bek,21303,Broadmeadows (Northern Metropolitan),239,Wills,2024,46345,56008.0,16008.0,Darul Ulum College of Victoria,Fawkner,VIC,3060,Independent,Combined,School Head Campus,Rolled Reporting,http://www.dulum.vic.edu.au,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Major Cities,1011.0,52.0,29.0,37.0,26.0,8.0,141.0,124.1,93.0,78.8,1548.0,869.0,679.0,1529.9,0.0,100.0,0.0,0.0
Daylesford Secondary College,,DAYLESFORD,37,14,-,Y,Y,,,87,61,4,-,48.6,97,13,< 4,83,-,29,3.5,< 4,DAYLESFORD SECONDARY COLLEGE,45329,50847.0,10847.0,45329,Daylesford Secondary College,DAYLESFORD,VIC,3460,Government,Secondary,0,School Single Entity,-37.33466597,144.15185097,1,Inner Regional,20272960000,20102101115,201021011,Daylesford,20102,Creswick - Daylesford - Ballan,201,Ballarat,22910,Hepburn,24504,Macedon (Northern Victoria),202,Ballarat,2024,45329,50847.0,10847.0,Daylesford Secondary College,Daylesford,VIC,3460,Government,Secondary,School Single Entity,Individual Reporting,http://www.daylesfordsc.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Inner Regional,1007.0,50.0,32.0,33.0,23.0,12.0,54.0,45.9,21.0,13.5,476.0,228.0,248.0,475.2,3.0,5.0,94.0,1.0
De La Salle College,,MALVERN,46,16,-,Y,,,,184,68,< 4,-,79.5,100,14,11,96,-,30,5,-,DE LA SALLE COLLEGE,45771,55686.0,15686.0,45771,De La Salle College,MALVERN,VIC,3144,Catholic,Combined,0,School Head Campus,-37.857677,145.032183,0,Major Cities,20631971980,20804119429,208041194,Malvern - Glen Iris,20804,Stonnington - East,208,Melbourne - Inner South,26350,Stonnington,24606,Malvern (Southern Metropolitan),220,Higgins,2024,45771,55686.0,15686.0,De La Salle College,Malvern,VIC,3144,Catholic,Combined,School Head Campus,Rolled Reporting,http://www.delasalle.vic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,5-12,Major Cities,1124.0,90.0,4.0,14.0,32.0,50.0,100.0,92.3,61.0,49.3,944.0,0.0,944.0,944.0,0.0,8.0,92.0,0.0
Diamond Valley College,,DIAMOND CREEK,52,35,2,Y,,,,133,126,4,< 4,55.7,100,18,-,76,I/D,25,0.7,-,DIAMOND VALLEY COLLEGE,45521,54847.0,14847.0,45521,Diamond Valley College,DIAMOND CREEK,VIC,3089,Government,Secondary,0,School Single Entity,-37.672433,145.167704,0,Major Cities,20514850000,20903121506,209031215,Wattle Glen - Diamond Creek,20903,Nillumbik - Kinglake,209,Melbourne - North East,25710,Nillumbik,22402,Eltham (North-Eastern Metropolitan),232,McEwen,2024,45521,54847.0,14847.0,Diamond Valley College,Diamond Creek,VIC,3089,Government,Secondary,School Single Entity,Individual Reporting,http://www.dvallcoll.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Major Cities,1024.0,58.0,24.0,36.0,27.0,12.0,81.0,69.5,30.0,21.6,817.0,379.0,438.0,815.8,2.0,6.0,89.0,5.0
Divrei Emineh,*,ORMOND,7,2,-,Y,,,,16,16,-,-,-,100,9,-,60,-,-,-,-,DIVREI EMINEH,50505,69806.0,29806.0,50505,Divrei Emineh,ELSTERNWICK,VIC,3185,Independent,Combined,0,School Single Entity,-37.903565,145.035018,0,Major Cities,20198092000,20802118224,208021182,Ormond - Glen Huntly,20802,Glen Eira,208,Melbourne - Inner South,22310,Glen Eira,20906,Bentleigh (Southern Metropolitan),217,Goldstein,2024,50505,69806.0,29806.0,Divrei Emineh,Elsternwick,VIC,3185,Independent,Combined,School Single Entity,Individual Reporting,https://www.goodschools.com.au/compare-schools/in-ormond-3204/divrei-emineh,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Major Cities,932.0,18.0,74.0,22.0,2.0,2.0,15.0,15.0,44.0,26.8,163.0,91.0,72.0,163.0,0.0,92.0,8.0,0.0
Donald High School,,DONALD,24,11,2,Y,Y,,,32,23,-,< 4,64.3,100,5,-,62,I/D,29,8.3,-,DONALD HIGH SCHOOL,45378,50889.0,10889.0,45378,Donald High School,DONALD,VIC,3480,Government,Secondary,0,School Single Entity,-36.370594,142.977163,2,Outer Regional,20094990000,21503140013,215031400,Buloke,21503,Murray River - Swan Hill,215,North West,21270,Buloke,24904,Mildura (Northern Victoria),230,Mallee,2024,45378,50889.0,10889.0,Donald High School,Donald,VIC,3480,Government,Secondary,School Single Entity,Individual Reporting,http://www.donaldhs.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Outer Regional,972.0,34.0,37.0,38.0,20.0,5.0,20.0,16.8,12.0,7.2,97.0,42.0,55.0,96.2,7.0,8.0,76.0,16.0
Doncaster Secondary College,,DONCASTER,59,32,8,Y,,,,263,95,9,4,74.3,98,7,17,97,75,32,13,-,DONCASTER SECONDARY COLLEGE,45379,48256.0,8256.0,45379,Doncaster Secondary College,DONCASTER,VIC,3108,Government,Secondary,0,School Single Entity,-37.784581,145.138053,0,Major Cities,20369500000,20702115730,207021157,Doncaster,20702,Manningham - West,207,Melbourne - Inner East,24210,Manningham,21502,Bulleen (North-Eastern Metropolitan),234,Menzies,2024,45379,48256.0,8256.0,Doncaster Secondary College,Doncaster,VIC,3108,Government,Secondary,School Single Entity,Individual Reporting,http://www.doncastersc.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Major Cities,1064.0,74.0,15.0,27.0,33.0,25.0,99.0,88.5,46.0,36.9,1180.0,575.0,605.0,1176.7,0.0,31.0,69.0,0.0
Donvale Christian College,,DONVALE,56,26,8,,,,,248,69,< 4,5,86.2,99,-,7,98,75,33,10.7,-,DONVALE CHRISTIAN COLLEGE,46235,42403.0,2403.0,46235,Donvale Christian College,DONVALE,VIC,3111,Independent,Combined,0,School Head Campus,-37.774028,145.193451,0,Major Cities,20357420000,21102126122,211021261,Donvale - Park Orchards,21102,Manningham - East,211,Melbourne - Outer East,24210,Manningham,28402,Warrandyte (North-Eastern Metropolitan),234,Menzies,2024,46235,42403.0,2403.0,Donvale Christian College,Donvale,VIC,3111,Independent,Combined,School Head Campus,Rolled Reporting,http://www.donvale.vic.edu.au,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Major Cities,1156.0,96.0,2.0,7.0,28.0,63.0,154.0,122.1,148.0,86.2,1612.0,778.0,834.0,1608.8,1.0,33.0,67.0,0.0
Dromana Secondary College,,DROMANA,56,40,5,Y,,,,390,272,12,4,58.1,100,53,4,100,80,32,8.7,-,DROMANA SECONDARY COLLEGE,45330,56380.0,16380.0,45330,Dromana Secondary College,DROMANA,VIC,3936,Government,Secondary,0,School Single Entity,-38.342636,145.013582,0,Major Cities,20485210000,21402137711,214021377,Dromana,21402,Mornington Peninsula,214,Mornington Peninsula,25340,Mornington Peninsula,26001,Nepean (Eastern Victoria),213,Flinders,2024,45330,56380.0,16380.0,Dromana Secondary College,Dromana,VIC,3936,Government,Secondary,School Single Entity,Individual Reporting,http://www.dsc.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Major Cities,1012.0,52.0,29.0,36.0,25.0,10.0,163.0,143.0,54.0,34.4,1762.0,871.0,891.0,1760.3,2.0,4.0,96.0,0.0
Drouin Secondary College,,DROUIN,50,45,6,Y,Y,,,207,174,24,< 4,42.7,98,34,< 4,100,I/D,25,1.1,< 4,DROUIN SECONDARY COLLEGE,45380,51865.0,11865.0,45380,Drouin Secondary College,DROUIN,VIC,3818,Government,Secondary,0,School Head Campus,-38.144659,145.850978,1,Inner Regional,20039530000,20501107637,205011076,Drouin,20501,Baw Baw,205,Latrobe - Gippsland,20830,Baw Baw,25701,Narracan (Eastern Victoria),235,Monash,2024,45380,51865.0,11865.0,Drouin Secondary College,Drouin,VIC,3818,Government,Secondary,School Head Campus,Rolled Reporting,http://www.drouinsc.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Inner Regional,973.0,34.0,46.0,35.0,15.0,5.0,96.0,89.4,69.0,50.9,1166.0,553.0,613.0,1160.8,3.0,3.0,96.0,1.0
Eaglehawk Secondary College,*,EAGLEHAWK,1,2,-,,,,,15,28,-,-,-,-,-,-,69,-,-,-,-,EAGLEHAWK SECONDARY COLLEGE,45381,46170.0,6170.0,45381,Eaglehawk Secondary College,EAGLEHAWK,VIC,3556,Government,Secondary,0,School Single Entity,-36.720264,144.262694,1,Inner Regional,20207120000,20201101905,202011019,California Gully - Eaglehawk,20201,Bendigo,202,Bendigo,22620,Greater Bendigo,20704,Bendigo East (Northern Victoria),203,Bendigo,2024,45381,46170.0,6170.0,Eaglehawk Secondary College,Eaglehawk,VIC,3556,Government,Secondary,School Single Entity,Individual Reporting,http://www.eaglehawksc.vic.edu.au/,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-10,Inner Regional,915.0,14.0,64.0,24.0,10.0,3.0,63.0,53.8,42.0,29.7,576.0,273.0,303.0,576.0,13.0,6.0,88.0,6.0
East Loddon P-12 College,,DINGEE,32,13,-,Y,,,,28,21,4,-,64.7,88,< 4,-,64,-,28,1.7,-,EAST LODDON P-12 COLLEGE,45299,51393.0,11393.0,45299,East Loddon P-12 College,DINGEE,VIC,3571,Government,Combined,0,School Single Entity,-36.372222,144.141446,1,Inner Regional,20351460000,20203103312,202031033,Loddon,20203,Loddon - Elmore,202,Bendigo,23940,Loddon,20704,Bendigo East (Northern Victoria),230,Mallee,2024,45299,51393.0,11393.0,East Loddon P-12 College,Dingee,VIC,3571,Government,Combined,School Single Entity,Individual Reporting,http://www.eastloddp12.vic.edu.au/,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-12,Inner Regional,975.0,35.0,41.0,32.0,19.0,7.0,33.0,29.3,20.0,11.0,267.0,131.0,136.0,266.2,3.0,1.0,97.0,1.0
East Preston Islamic College,,PRESTON,9,1,-,,,,,23,9,-,-,33.3,83,-,-,100,-,21,0,-,EAST PRESTON ISLAMIC COLLEGE,46349,56149.0,16149.0,46349,East Preston Islamic College,PRESTON,VIC,3072,Independent,Combined,0,School Single Entity,-37.73395221,145.03438975,0,Major Cities,20154500000,20902142838,209021428,Preston - East,20902,Darebin - North,209,Melbourne - North East,21890,Darebin,27003,Preston (Northern Metropolitan),208,Cooper,2024,46349,56149.0,16149.0,East Preston Islamic College,Preston,VIC,3072,Independent,Combined,School Single Entity,Individual Reporting,http://www.epic.vic.edu.au,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Major Cities,985.0,40.0,42.0,31.0,20.0,7.0,69.0,63.3,68.0,63.3,708.0,368.0,340.0,708.0,0.0,97.0,3.0,0.0
Echuca College,,ECHUCA,43,26,-,Y,,,,130,166,8,-,51.4,99,7,-,78,-,24,0.7,-,ECHUCA COLLEGE,40434,46325.0,6325.0,40434,Echuca College,ECHUCA,VIC,3564,Government,Secondary,0,School Single Entity,-36.132394,144.732423,1,Inner Regional,20096911000,21601140615,216011406,Echuca,21601,Campaspe,216,Shepparton,21370,Campaspe,25604,Murray Plains (Northern Victoria),236,Nicholls,2024,40434,46325.0,6325.0,Echuca College,Echuca,VIC,3564,Government,Secondary,School Single Entity,Individual Reporting,http://www.echucacollege.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Inner Regional,934.0,19.0,55.0,29.0,12.0,4.0,65.0,58.7,37.0,24.5,634.0,321.0,313.0,631.0,14.0,6.0,93.0,1.0
Edenhope College,*,EDENHOPE,18,9,-,Y,Y,,,11,11,-,-,33.3,100,< 4,-,83,-,25,0,< 4,EDENHOPE COLLEGE,45222,50018.0,10018.0,45222,Edenhope College,EDENHOPE,VIC,3318,Government,Combined,0,School Single Entity,-37.03342876,141.29856271,2,Outer Regional,20586270000,21501139308,215011393,West Wimmera,21501,Grampians,215,North West,26890,West Wimmera,24408,Lowan (Western Victoria),230,Mallee,2024,45222,50018.0,10018.0,Edenhope College,Edenhope,VIC,3318,Government,Combined,School Single Entity,Individual Reporting,http://www.edenhope.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-12,Outer Regional,971.0,34.0,40.0,30.0,22.0,9.0,21.0,17.4,13.0,10.0,125.0,70.0,55.0,124.3,5.0,3.0,95.0,2.0
Edgars Creek Secondary College,,WOLLERT,38,29,4,Y,Y,,,189,123,-,< 4,61.3,88,26,< 4,67,I/D,26,1,< 4,EDGARS CREEK SECONDARY COLLEGE,52591,85311.0,85310.0,52591,Edgars Creek Secondary College,WOLLERT,VIC,3750,Government,Secondary,0,School Single Entity,-37.616208,145.004876,0,Major Cities,21333880000,20904143745,209041437,Wollert,20904,Whittlesea - Wallan,209,Melbourne - North East,27070,Whittlesea,28303,Thomastown (Northern Metropolitan),237,Scullin,2024,52591,85311.0,85310.0,Edgars Creek Secondary College,Wollert,VIC,3750,Government,Secondary,School Single Entity,Individual Reporting,https://www.edgarscreeksc.vic.edu.au/,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Major Cities,999.0,46.0,35.0,31.0,25.0,10.0,100.0,95.5,53.0,39.2,1304.0,638.0,666.0,1304.0,1.0,76.0,24.0,0.0
Edinburgh College,,LILYDALE,21,7,-,,,,,54,40,-,-,68.2,100,-,< 4,87,-,28,1,-,EDINBURGH COLLEGE,46222,42222.0,2222.0,46222,Edinburgh College,LILYDALE,VIC,3140,Independent,Combined,0,School Head Campus,-37.78495788574219,145.3518829345703,0,Major Cities,20656020000,21105127817,211051278,Lilydale - Coldstream,21105,Yarra Ranges,211,Melbourne - Outer East,27450,Yarra Ranges,22801,Evelyn (Eastern Victoria),206,Casey,2024,46222,42222.0,2222.0,Edinburgh College,Lilydale,VIC,3140,Independent,Combined,School Head Campus,Rolled Reporting,https://www.edinburghcollege.vic.edu.au,Adventist Schools Australia,https://www.adventist.edu.au/,Prep-12,Major Cities,1078.0,78.0,10.0,26.0,35.0,29.0,58.0,46.7,31.0,19.3,534.0,267.0,267.0,534.0,1.0,16.0,84.0,0.0
Elevation Secondary College,,CRAIGIEBURN,9,18,-,,,,,55,100,4,-,-,-,-,-,66,-,30,9.4,-,ELEVATION SECONDARY COLLEGE,52779,86870.0,86869.0,52779,Elevation Secondary College,CRAIGIEBURN,VIC,3064,Government,Secondary,0,School Single Entity,-37.598,144.8889,0,Major Cities,21321750000,21005144345,210051443,Craigieburn - South,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,23270,Hume,23903,Kalkallo (Northern Metropolitan),205,Calwell,2024,52779,86870.0,86869.0,Elevation Secondary College,Craigieburn,VIC,3064,Government,Secondary,School Single Entity,Individual Reporting,https://www.elevationsc.vic.edu.au/,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-11,Major Cities,968.0,32.0,46.0,28.0,19.0,7.0,83.0,78.7,43.0,38.7,971.0,473.0,498.0,970.9,1.0,82.0,18.0,0.0
Elisabeth Murdoch College,,LANGWARRIN,86,59,8,Y,Y,,,377,504,31,7,39.6,100,76,-,88,100,31,10.8,-,ELISABETH MURDOCH COLLEGE,45506,52125.0,12125.0,45506,Elisabeth Murdoch College,LANGWARRIN,VIC,3910,Government,Secondary,0,School Single Entity,-38.159291,145.19018,0,Major Cities,20165920000,21401137448,214011374,Langwarrin,21401,Frankston,214,Mornington Peninsula,22170,Frankston,23601,Hastings (Eastern Victoria),212,Dunkley,2024,45506,52125.0,12125.0,Elisabeth Murdoch College,Langwarrin,VIC,3910,Government,Secondary,School Single Entity,Individual Reporting,http://www.emc.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Major Cities,1007.0,50.0,31.0,37.0,23.0,9.0,129.0,119.5,67.0,42.7,1573.0,827.0,746.0,1566.1,3.0,5.0,94.0,1.0
