School,Small School,Locality,"Number of VCE, VCE Vocational Major (VM) studies and VCE VET programs at Units 3 and 4 level with enrolments ",Number of Vocational Education and Training (VET) certificates with enrolments,Number of Higher Education studies (HES) with enrolments,Enrolment(s) in VCE Vocational Major (VM) unit(s)​,Enrolment(s) in the Victorian Pathways Certificate (VPC),Enrolment(s) in the International Baccalaureate (IB) Diploma,Enrolment(s) in Northern Hemisphere Timetable (NHT) delivery at Units 3 and 4 level ​,Number of students enrolled in at least one VCE or VCE Vocational Major (VM) study or VCE VET program at Units 3 and 4 level,Number of students enrolled in a Vocational Education and Training (VET) certificate,Number of students enrolled in an School-based Apprenticeship or Traineeship (SBAT),Number of students enrolled in a Higher Education study (HES),Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Number of students awarded the VCE Vocational Major (VM),Number of students awarded the VCE (Baccalaureate),Percentage of Vocational Education and Training (VET) units of competency completed,Percentage of Higher Education studies (HES) completed,Median VCE study score,Percentage of study scores of 40 and over,Number of students awarded the Victorian Pathways Certificate (VPC),SchoolName_clean,ACARA SML ID,Location AGE ID,School AGE ID,Rolled School ID,School Name,Suburb,State,Postcode,School Sector,School Type,Special school,Campus Type,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name,Calendar Year,ACARA SML ID_profile,Location AGE ID_profile,School AGE ID_profile,School Name_profile,Suburb_profile,State_profile,Postcode_profile,School Sector_profile,School Type_profile,Campus Type_profile,Rolled Reporting Description,School URL,Governing Body,Governing Body URL,Year Range,Geolocation,ICSEA,ICSEA Percentile,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Language Background Other Than English - No (%),Language Background Other Than English - Not Stated (%)
Alice Miller School,,MACEDON,26,9,4,,,,,53,29,-,< 4,76.7,100,-,< 4,84,I/D,32,12.2,-,ALICE MILLER SCHOOL,52381,70324.0,30324.0,52381,Alice Miller School,MACEDON,VIC,3440,Independent,Combined,0,School Head Campus,-37.44664,144.531585,1,Inner Regional,20356350000,21002123306,210021233,Macedon,21002,Macedon Ranges,210,Melbourne - North West,24130,Macedon Ranges,24504,Macedon (Northern Victoria),232,McEwen,2024,52381,70324.0,30324.0,Alice Miller School,Macedon,VIC,3440,Independent,Combined,School Head Campus,Rolled Reporting,http://www.alicemillerschool.com/,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Inner Regional,1134.0,92.0,2.0,11.0,31.0,55.0,49.0,41.5,21.0,18.2,388.0,196.0,192.0,388.0,2.0,5.0,95.0,0.0
Alkira Secondary College,,CRANBOURNE NORTH,61,34,-,Y,Y,,,376,176,4,-,66.5,96,59,< 4,88,-,29,2.8,< 4,ALKIRA SECONDARY COLLEGE,45604,68854.0,28854.0,45604,Alkira Secondary College,CRANBOURNE NORTH,VIC,3977,Government,Secondary,0,School Single Entity,-38.073313,145.310519,0,Major Cities,20631994660,21203155905,212031559,Cranbourne North - East,21203,Casey - South,212,Melbourne - South East,21610,Casey,25905,Narre Warren South (South-Eastern Metropolitan),221,Holt,2024,45604,68854.0,28854.0,Alkira Secondary College,Cranbourne North,VIC,3977,Government,Secondary,School Single Entity,Individual Reporting,http://www.alkirasecondarycollege.com.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,7-12,Major Cities,987.0,41.0,40.0,27.0,22.0,11.0,157.0,149.1,86.0,69.8,1906.0,907.0,999.0,1904.7,1.0,62.0,38.0,0.0
Alphington Grammar School,,ALPHINGTON,21,-,-,,,,,77,-,-,-,100,100,-,< 4,-,-,30,12.4,-,ALPHINGTON GRAMMAR SCHOOL,46316,53338.0,13338.0,46316,Alphington Grammar School,ALPHINGTON,VIC,3078,Independent,Combined,0,School Single Entity,-37.780429,145.036174,0,Major Cities,20639390000,20607114513,206071145,Clifton Hill - Alphington,20607,Yarra,206,Melbourne - Inner,27350,Yarra,26203,Northcote (Northern Metropolitan),208,Cooper,2024,46316,53338.0,13338.0,Alphington Grammar School,Alphington,VIC,3078,Independent,Combined,School Single Entity,Individual Reporting,http://www.alphington.vic.edu.au,Independent Schools Victoria,https://www.is.vic.edu.au,Prep-12,Major Cities,1156.0,96.0,1.0,9.0,26.0,64.0,71.0,61.0,31.0,25.6,610.0,190.0,420.0,610.0,0.0,53.0,47.0,0.0
Altona College,,ALTONA,31,15,-,Y,,,,58,46,6,-,40.6,100,4,-,81,-,26,3.9,-,ALTONA COLLEGE,45587,47543.0,7543.0,45587,Altona College,ALTONA,VIC,3018,Government,Combined,0,School Single Entity,-37.86152274,144.8172644,0,Major Cities,20278350000,21302134128,213021341,Altona,21302,Hobsons Bay,213,Melbourne - West,23110,Hobsons Bay,28707,Williamstown (Western Metropolitan),215,Gellibrand,2024,45587,47543.0,7543.0,Altona College,Altona,VIC,3018,Government,Combined,School Single Entity,Individual Reporting,http://www.altonacollege.vic.edu.au,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-12,Major Cities,1036.0,63.0,26.0,29.0,24.0,21.0,62.0,58.8,26.0,18.1,687.0,316.0,371.0,684.9,2.0,27.0,73.0,0.0
Antonine College,,PASCOE VALE SOUTH,25,12,-,Y,,,,102,72,-,-,74.6,95,5,< 4,90,-,26,3.3,-,ANTONINE COLLEGE,46112,62824.0,22824.0,46112,Antonine College,PASCOE VALE SOUTH,VIC,3044,Catholic,Combined,0,School Head Campus,-37.741099,144.942754,0,Major Cities,20466830000,20601110903,206011109,Pascoe Vale South,20601,Brunswick - Coburg,206,Melbourne - Inner,24700,Merri-bek,26603,Pascoe Vale (Northern Metropolitan),239,Wills,2024,46112,62824.0,22824.0,Antonine College,Pascoe Vale South,VIC,3044,Catholic,Combined,School Head Campus,Rolled Reporting,http://www.antonine.catholic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,Prep-12,Major Cities,981.0,38.0,45.0,31.0,18.0,6.0,79.0,70.0,70.0,47.6,894.0,458.0,436.0,894.0,0.0,99.0,1.0,0.0
Apollo Bay P-12 College,,APOLLO BAY,26,4,-,Y,,,,44,30,< 4,-,63.6,100,< 4,-,85,-,30,10.7,-,APOLLO BAY P-12 COLLEGE,45292,49607.0,9607.0,45292,Apollo Bay P-12 College,APOLLO BAY,VIC,3233,Government,Combined,0,School Single Entity,-38.753524,143.660507,1,Inner Regional,20134790000,21703147605,217031476,Otway,21703,Colac - Corangamite,217,Warrnambool and South West,21750,Colac Otway,26808,Polwarth (Western Victoria),238,Wannon,2024,45292,49607.0,9607.0,Apollo Bay P-12 College,Apollo Bay,VIC,3233,Government,Combined,School Single Entity,Individual Reporting,http://external.apollobayp12.vic.edu.au/,Department of Education and Training Victoria,https://www.education.vic.gov.au/,Prep-12,Inner Regional,1036.0,63.0,20.0,31.0,28.0,20.0,45.0,33.7,20.0,11.7,320.0,159.0,161.0,318.0,4.0,12.0,86.0,2.0
Aquinas College,,RINGWOOD,80,39,2,Y,Y,,,383,183,23,< 4,76.4,99,34,5,71,I/D,29,5.1,< 4,AQUINAS COLLEGE,45947,40747.0,747.0,45947,Aquinas College,RINGWOOD,VIC,3134,Catholic,Secondary,0,School Single Entity,-37.82303115,145.23518332,0,Major Cities,20388140000,21103126605,211031266,Ringwood,21103,Maroondah,211,Melbourne - Outer East,24410,Maroondah,27202,Ringwood (North-Eastern Metropolitan),211,Deakin,2024,45947,40747.0,747.0,Aquinas College,Ringwood,VIC,3134,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.aquinas.vic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,7-12,Major Cities,1082.0,79.0,9.0,26.0,36.0,30.0,154.0,140.0,99.0,79.3,1671.0,807.0,864.0,1671.0,1.0,5.0,95.0,0.0
Aquinas College,,RINGWOOD,80,39,2,Y,Y,,,383,183,23,< 4,76.4,99,34,5,71,I/D,29,5.1,< 4,AQUINAS COLLEGE,45947,40747.0,747.0,45947,Aquinas College,RINGWOOD,VIC,3134,Catholic,Secondary,0,School Single Entity,-37.82303115,145.23518332,0,Major Cities,20388140000,21103126605,211031266,Ringwood,21103,Maroondah,211,Melbourne - Outer East,24410,Maroondah,27202,Ringwood (North-Eastern Metropolitan),211,Deakin,2024,47860,40411.0,411.0,Aquinas College,Ashmore,QLD,4214,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.aquinas.qld.edu.au,Queensland Catholic Education Commission,https://qcec.catholic.edu.au/,7-12,Major Cities,1059.0,72.0,11.0,31.0,37.0,21.0,68.0,64.8,37.0,31.2,809.0,394.0,415.0,809.0,2.0,8.0,92.0,0.0
Aquinas College,,RINGWOOD,80,39,2,Y,Y,,,383,183,23,< 4,76.4,99,34,5,71,I/D,29,5.1,< 4,AQUINAS COLLEGE,45947,40747.0,747.0,45947,Aquinas College,RINGWOOD,VIC,3134,Catholic,Secondary,0,School Single Entity,-37.82303115,145.23518332,0,Major Cities,20388140000,21103126605,211031266,Ringwood,21103,Maroondah,211,Melbourne - Outer East,24410,Maroondah,27202,Ringwood (North-Eastern Metropolitan),211,Deakin,2024,48916,55657.0,15657.0,Aquinas College,Salter Point,WA,6152,Catholic,Combined,School Single Entity,Individual Reporting,http://www.aquinas.wa.edu.au,Catholic Education Western Australia,https://www.cewa.edu.au/,PP-12,Major Cities,1108.0,86.0,7.0,17.0,30.0,47.0,138.0,118.2,85.0,60.8,1314.0,0.0,1314.0,1314.0,4.0,18.0,82.0,0.0
Aquinas College,,RINGWOOD,80,39,2,Y,Y,,,383,183,23,< 4,76.4,99,34,5,71,I/D,29,5.1,< 4,AQUINAS COLLEGE,47860,40411.0,411.0,47860,Aquinas College,ASHMORE,QLD,4214,Catholic,Secondary,0,School Single Entity,-27.975092,153.383562,0,Major Cities,30315810000,30909154027,309091540,Southport - North,30909,Southport,309,Gold Coast,33430,Gold Coast,30078,Southport,323,Moncrieff,2024,45947,40747.0,747.0,Aquinas College,Ringwood,VIC,3134,Catholic,Secondary,School Single Entity,Individual Reporting,http://www.aquinas.vic.edu.au,Victorian Catholic Education Authority,https://www.vcea.catholic.edu.au/,7-12,Major Cities,1082.0,79.0,9.0,26.0,36.0,30.0,154.0,140.0,99.0,79.3,1671.0,807.0,864.0,1671.0,1.0,5.0,95.0,0.0
