School,School Name,Suburb,State,Latitude,Longitude,ICSEA,ICSEA Percentile,Total Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Median VCE study score,Percentage of study scores of 40 and over,Statistical Area 2,Statistical Area 2 Name
Epping Secondary College,Epping Secondary College,EPPING,VIC,-37.64428686,145.03283433,957.0,27.0,1047.0,4.0,48.0,28,5.2,209041431.0,Epping - East
Essendon Keilor College,Essendon Keilor College,KEILOR EAST,VIC,-37.744074,144.868237,1007.0,50.0,670.0,3.0,39.0,26,2.3,210011534.0,Keilor East
Euroa Secondary College,Euroa Secondary College,EUROA,VIC,-36.758203,145.5648,964.0,30.0,273.0,5.0,3.0,26,2.8,204011055.0,Euroa
Fairhills High School,Fairhills High School,KNOXFIELD,VIC,-37.87289402,145.25755674,987.0,41.0,379.0,2.0,20.0,26,0,211011447.0,Ferntree Gully - North
Firbank Grammar School,Firbank Grammar School,BRIGHTON,VIC,-37.906118,144.996936,1149.0,95.0,1033.0,1.0,29.0,34,19.2,208011169.0,Brighton (Vic.)
Fitzroy High School,Fitzroy High School,FITZROY NORTH,VIC,-37.784911,144.987476,1097.0,83.0,491.0,3.0,27.0,28,3.7,206071143.0,Fitzroy North
Forest Hill College,Forest Hill College,BURWOOD EAST,VIC,-37.847965,145.163859,1046.0,67.0,469.0,1.0,34.0,29,2.1,207031166.0,Burwood East
Foster Secondary College,Foster Secondary College,FOSTER,VIC,-38.651737,146.197413,1008.0,51.0,263.0,3.0,5.0,30,3,205031087.0,Foster
Frankston High School,Frankston High School,FRANKSTON,VIC,-38.16056162,145.1284347,1070.0,76.0,1966.0,1.0,22.0,31,9.6,214011371.0,Frankston
Geelong Baptist College,Geelong Baptist College,LOVELY BANKS,VIC,-38.068112,144.328265,1030.0,60.0,310.0,3.0,20.0,24,2.5,203021486.0,Corio - Lovely Banks
Geelong High School,Geelong High School,EAST GEELONG,VIC,-38.153026,144.373726,1000.0,47.0,954.0,3.0,7.0,27,5.1,203021039.0,Geelong
Gilson College,Gilson College,TAYLORS HILL,VIC,-37.724488,144.762878,1071.0,76.0,1105.0,0.0,49.0,27,2.9,213041360.0,Taylors Hill
Gilson College,Gilson College,TAYLORS HILL,VIC,-37.724488,144.762878,1071.0,76.0,1105.0,0.0,49.0,26,0,213041360.0,Taylors Hill
Gippsland Grammar,Gippsland Grammar,SALE,VIC,-38.093651,147.064627,1099.0,84.0,1036.0,1.0,10.0,31,9.8,205051103.0,Sale
Girton Grammar School,Girton Grammar School,BENDIGO,VIC,-36.7626002224086,144.272779090017,1151.0,95.0,1083.0,1.0,20.0,31,9.4,202011018.0,Bendigo
Gisborne Secondary College,Gisborne Secondary College,GISBORNE,VIC,-37.49811364,144.58477412,1020.0,56.0,990.0,3.0,4.0,27,0.8,210021232.0,Gisborne
Glen Eira College,Glen Eira College,CAULFIELD EAST,VIC,-37.8857,145.038006,1112.0,87.0,862.0,0.0,55.0,31,6.5,208021177.0,Caulfield - North
Gleneagles Secondary College,Gleneagles Secondary College,ENDEAVOUR HILLS,VIC,-37.97435311,145.27628069,968.0,32.0,1323.0,1.0,69.0,29,3.2,212021453.0,Endeavour Hills - North
Glenroy Private,Glenroy Private,GLENROY,VIC,-37.697077,144.928185,993.0,43.0,575.0,0.0,99.0,23,0,210031535.0,Glenroy - East
Good News Lutheran College,Good News Lutheran College,TARNEIT,VIC,-37.855204,144.665994,1109.0,87.0,1639.0,0.0,74.0,31,7.4,213051585.0,Tarneit - South
Grace Christian College Wodonga,Grace Christian College Wodonga,LENEVA,VIC,-36.157173,146.887345,1029.0,60.0,156.0,3.0,10.0,-,-,204031491.0,Baranduda - Leneva
Grovedale College,Grovedale College,GROVEDALE,VIC,-38.2110078,144.32715137,993.0,44.0,693.0,4.0,7.0,25,1.1,203021487.0,Grovedale - Mount Duneed
Haileybury Rendall School,Haileybury Rendall School,BERRIMAH,NT,-12.44235,130.92232,1085.0,80.0,952.0,14.0,32.0,31,11,,
Hazel Glen College,Hazel Glen College,DOREEN,VIC,-37.59822111,145.12339968,1023.0,57.0,2361.0,2.0,26.0,26,2.7,209041527.0,Doreen - North
Healesville High School,Healesville High School,HEALESVILLE,VIC,-37.64356325,145.53197325,967.0,32.0,305.0,9.0,4.0,27,1.6,211051276.0,Healesville - Yarra Glen
Heathdale Christian College,Heathdale Christian College,WERRIBEE,VIC,-37.881318,144.681332,1142.0,94.0,2246.0,0.0,77.0,30,5.6,213051467.0,Werribee - East
Heathmont College,Heathmont College,HEATHMONT,VIC,-37.83842619,145.23210355,1016.0,54.0,665.0,2.0,9.0,25,0.7,211031267.0,Ringwood East
Heritage College,Heritage College,NARRE WARREN SOUTH,VIC,-38.050215,145.316519,1049.0,68.0,559.0,1.0,64.0,27,0.9,212031457.0,Narre Warren South - East
Hester Hornbrook Academy,Hester Hornbrook Academy,MELBOURNE,VIC,-37.82918,144.96312,937.0,20.0,475.0,8.0,14.0,-,-,206051512.0,South Melbourne
Highvale Secondary College,Highvale Secondary College,GLEN WAVERLEY,VIC,-37.86624,145.176723,1110.0,87.0,1193.0,0.0,69.0,29,7.3,212051321.0,Glen Waverley - East
Hillcrest Christian College,Hillcrest Christian College,CLYDE NORTH,VIC,-38.084681,145.363801,1102.0,85.0,2135.0,0.0,52.0,29,3.4,212031555.0,Clyde North - North
Hillcrest Christian College,Hillcrest Christian College,CLYDE NORTH,VIC,-38.084681,145.363801,1108.0,86.0,1950.0,2.0,19.0,29,3.4,212031555.0,Clyde North - North
Hillcrest Christian College,Hillcrest Christian College,REEDY CREEK,QLD,-28.106418,153.397512,1102.0,85.0,2135.0,0.0,52.0,29,3.4,212031555.0,Clyde North - North
Hillcrest Christian College,Hillcrest Christian College,REEDY CREEK,QLD,-28.106418,153.397512,1108.0,86.0,1950.0,2.0,19.0,29,3.4,212031555.0,Clyde North - North
Holmes Grammar School,Holmes Grammar School,MELBOURNE,VIC,-37.810302,144.972271,,,,,,28,0,206041503.0,Melbourne CBD - East
Holy Trinity Lutheran College,Holy Trinity Lutheran College,HORSHAM,VIC,-36.708181,142.217749,1060.0,72.0,581.0,2.0,8.0,30,8.8,215011388.0,Horsham
Hopetoun P-12 College,Hopetoun P-12 College,HOPETOUN,VIC,-35.73486974,142.36602962,940.0,21.0,78.0,5.0,2.0,27,0,215011394.0,Yarriambiack
Horsham College,Horsham College,HORSHAM,VIC,-36.707706,142.187075,970.0,33.0,1009.0,5.0,7.0,29,5.2,215011388.0,Horsham
Hume Anglican Grammar,Hume Anglican Grammar,MICKLEHAM,VIC,-37.568405,144.931491,1092.0,82.0,2677.0,0.0,82.0,30,9.4,210051445.0,Mickleham - Yuroke
Huntingtower School,Huntingtower School,MOUNT WAVERLEY,VIC,-37.876741,145.136288,1194.0,99.0,752.0,0.0,74.0,37,31.7,212051324.0,Mount Waverley - South
Ignatius Learning Centre,Ignatius Learning Centre,RICHMOND,VIC,-37.82215686,144.9981578,1044.0,66.0,38.0,11.0,14.0,-,-,206071517.0,Richmond (South) - Cremorne
Ilim College,Ilim College,DALLAS,VIC,-37.668621,144.930072,1019.0,55.0,2769.0,0.0,95.0,27,5.2,210051243.0,Campbellfield - Coolaroo
Ilim College,Ilim College,DALLAS,VIC,-37.668621,144.930072,1019.0,55.0,2769.0,0.0,95.0,32,3.6,210051243.0,Campbellfield - Coolaroo
Indie School Wodonga,Indie School Wodonga,WODONGA,VIC,-36.118028,146.889403,925.0,16.0,1575.0,10.0,8.0,I/D,I/D,204031492.0,Wodonga
Iona College Geelong,Iona College Geelong,CHARLEMONT,VIC,-38.2205,144.3548,1077.0,78.0,1044.0,1.0,4.0,33,6.1,203021485.0,Charlemont
Irymple Secondary College,Irymple Secondary College,IRYMPLE,VIC,-34.23232674,142.16470312,1005.0,49.0,627.0,5.0,5.0,-,-,215021395.0,Irymple
Islamic College of Melbourne,Islamic College Of Melbourne,TARNEIT,VIC,-37.85474629,144.66015383,1081.0,79.0,1875.0,0.0,77.0,31,12.7,213051585.0,Tarneit - South
Ivanhoe Girls' Grammar School,Ivanhoe Girls' Grammar School,IVANHOE,VIC,-37.766522068351,145.047477413679,1183.0,99.0,863.0,0.0,10.0,35,21.2,209011200.0,Ivanhoe
Ivanhoe Grammar School,Ivanhoe Grammar School,IVANHOE,VIC,-37.772515,145.044477,1163.0,97.0,2448.0,0.0,26.0,34,17.8,209011200.0,Ivanhoe
Ivanhoe Grammar School,Ivanhoe Grammar School,IVANHOE,VIC,-37.772515,145.044477,1163.0,97.0,2448.0,0.0,26.0,33,16,209011200.0,Ivanhoe
John Monash Science School,John Monash Science School,CLAYTON,VIC,-37.91419502,145.12878264,1126.0,91.0,656.0,0.0,73.0,36,22.5,212051567.0,Clayton (North) - Notting Hill
John Paul College,John Paul College,FRANKSTON,VIC,-38.134567,145.139395,1051.0,69.0,1234.0,1.0,10.0,28,4.6,214011372.0,Frankston North
John Paul College,John Paul College,FRANKSTON,VIC,-38.134567,145.139395,1120.0,89.0,2105.0,2.0,49.0,28,4.6,214011372.0,Frankston North
John Paul College,John Paul College,FRANKSTON,VIC,-38.134567,145.139395,1005.0,49.0,689.0,5.0,28.0,28,4.6,214011372.0,Frankston North
John Paul College,John Paul College,DAISY HILL,QLD,-27.63364071,153.14832272,1051.0,69.0,1234.0,1.0,10.0,28,4.6,214011372.0,Frankston North
John Paul College,John Paul College,DAISY HILL,QLD,-27.63364071,153.14832272,1120.0,89.0,2105.0,2.0,49.0,28,4.6,214011372.0,Frankston North
John Paul College,John Paul College,DAISY HILL,QLD,-27.63364071,153.14832272,1005.0,49.0,689.0,5.0,28.0,28,4.6,214011372.0,Frankston North
John Paul College,John Paul College,KALGOORLIE,WA,-30.7546,121.469,1051.0,69.0,1234.0,1.0,10.0,28,4.6,214011372.0,Frankston North
John Paul College,John Paul College,KALGOORLIE,WA,-30.7546,121.469,1120.0,89.0,2105.0,2.0,49.0,28,4.6,214011372.0,Frankston North
John Paul College,John Paul College,KALGOORLIE,WA,-30.7546,121.469,1005.0,49.0,689.0,5.0,28.0,28,4.6,214011372.0,Frankston North
Kambrya College,Kambrya College,BERWICK,VIC,-38.05368819,145.34740996,1041.0,65.0,2158.0,1.0,50.0,31,5.6,212021553.0,Berwick - South East
Kerang Christian College,Kerang Christian College,KERANG,VIC,-35.730422,143.913416,1002.0,48.0,134.0,4.0,7.0,29,15.9,215031402.0,Kerang
Kerang Technical High School,Kerang Technical High School,KERANG,VIC,-35.725651,143.913802,950.0,24.0,253.0,11.0,3.0,26,2.6,215031402.0,Kerang
Kew High School,Kew High School,KEW EAST,VIC,-37.794722,145.061556,1114.0,88.0,1038.0,0.0,38.0,30,7.1,207011154.0,Kew East
Kilbreda College,Kilbreda College,MENTONE,VIC,-37.984153,145.065712,1076.0,77.0,921.0,1.0,12.0,32,10.3,208031190.0,Mentone
Killester College,Killester College,SPRINGVALE,VIC,-37.959071,145.152017,1015.0,53.0,971.0,0.0,52.0,30,5.3,212041317.0,Springvale
Kilvington Grammar School,Kilvington Grammar School,ORMOND,VIC,-37.899519,145.041216,1183.0,99.0,759.0,0.0,40.0,33,18.3,208021182.0,Ormond - Glen Huntly
Kingswood College,Kingswood College,BOX HILL,VIC,-37.832777,145.118628,1151.0,95.0,576.0,1.0,31.0,32,11.8,207031163.0,Box Hill
Kolbe Catholic College,Kolbe Catholic College,GREENVALE,VIC,-37.61565904,144.90988638,980.0,38.0,1259.0,1.0,42.0,27,4.8,210051246.0,Greenvale - Bulla
Kolbe Catholic College,Kolbe Catholic College,GREENVALE,VIC,-37.61565904,144.90988638,1047.0,67.0,1254.0,4.0,16.0,27,4.8,210051246.0,Greenvale - Bulla
Kolbe Catholic College,Kolbe Catholic College,ROCKINGHAM,WA,-32.28023,115.75325,980.0,38.0,1259.0,1.0,42.0,27,4.8,210051246.0,Greenvale - Bulla
Kolbe Catholic College,Kolbe Catholic College,ROCKINGHAM,WA,-32.28023,115.75325,1047.0,67.0,1254.0,4.0,16.0,27,4.8,210051246.0,Greenvale - Bulla
Koonung Secondary College,Koonung Secondary College,MONT ALBERT NORTH,VIC,-37.8027350322484,145.115283891461,1102.0,85.0,1197.0,0.0,55.0,32,9.8,207031164.0,Box Hill North
Korowa Anglican Girls' School,Korowa Anglican Girls' School,GLEN IRIS,VIC,-37.861454,145.054637,1199.0,99.0,747.0,0.0,44.0,35,21.2,208041194.0,Malvern - Glen Iris
Kurnai College,Kurnai College,MORWELL,VIC,-38.228791,146.432788,911.0,13.0,1226.0,12.0,7.0,24,0.8,205041096.0,Morwell
Kurunjang Secondary College,Kurunjang Secondary College,MELTON,VIC,-37.67318002,144.58582721,946.0,23.0,880.0,3.0,38.0,24,2.3,213041576.0,Kurunjang - Toolern Vale
Kyabram P-12 College,Kyabram P-12 College,KYABRAM,VIC,-36.317476,145.056207,950.0,24.0,898.0,8.0,7.0,23,0,216011407.0,Kyabram
Lakeview Senior College,Lakeview Senior College,CAROLINE SPRINGS,VIC,-37.73116305,144.74013589,1009.0,51.0,989.0,1.0,59.0,27,2.3,213041463.0,Caroline Springs
Lalor Secondary College,Lalor Secondary College,LALOR,VIC,-37.671732,145.030585,966.0,31.0,1128.0,1.0,76.0,26,2.3,209041529.0,Lalor - East
Lara Secondary College,Lara Secondary College,LARA,VIC,-38.01839851,144.41233424,970.0,33.0,630.0,3.0,11.0,25,1.5,203021043.0,Lara
Lavalla Catholic College,Lavalla Catholic College,TRARALGON,VIC,-38.200886266954285,146.51419568451692,1030.0,60.0,1306.0,1.0,7.0,30,4.4,205041494.0,Traralgon - West
Lavers Hill K-12 College,Lavers Hill K-12 College,LAVERS HILL,VIC,-38.681844,143.383051,915.0,14.0,54.0,9.0,2.0,I/D,I/D,217031476.0,Otway
Laverton P-12 College,Laverton P-12 College,LAVERTON,VIC,-37.85617409,144.77263287,932.0,18.0,687.0,1.0,70.0,24,3.7,213051363.0,Laverton
Leibler Yavneh College,Leibler Yavneh College,ELSTERNWICK,VIC,-37.892871,145.006626,1123.0,90.0,579.0,0.0,21.0,35,23.6,208021179.0,Elsternwick
Leongatha Secondary College,Leongatha Secondary College,LEONGATHA,VIC,-38.47868659,145.96124111,990.0,42.0,624.0,3.0,2.0,29,1,205031090.0,Leongatha
Lighthouse Christian College,Lighthouse Christian College,KEYSBOROUGH,VIC,-38.001083,145.142986,1079.0,79.0,792.0,0.0,85.0,30,3.2,212041566.0,Keysborough - South
Lighthouse Christian College,Lighthouse Christian College,KEYSBOROUGH,VIC,-38.001083,145.142986,1079.0,79.0,792.0,0.0,85.0,30,7.7,212041566.0,Keysborough - South
Lilydale Heights College,Lilydale Heights College,LILYDALE,VIC,-37.7458221,145.34140676,1000.0,47.0,818.0,2.0,5.0,26,3.7,211051278.0,Lilydale - Coldstream
Lilydale High School,Lilydale High School,LILYDALE,VIC,-37.76073331,145.34521687,1014.0,53.0,1426.0,2.0,5.0,27,2,211051278.0,Lilydale - Coldstream
Little Yarra Steiner School,Little Yarra Steiner School,YARRA JUNCTION,VIC,-37.79444291,145.631163,1064.0,74.0,262.0,1.0,15.0,29,0,211051286.0,Yarra Valley
Loreto College,Loreto College,BALLARAT,VIC,-37.55686069,143.8234695,1070.0,75.0,950.0,2.0,5.0,31,6.8,201011002.0,Ballarat
Loreto College,Loreto College,BALLARAT,VIC,-37.55686069,143.8234695,1104.0,85.0,709.0,2.0,15.0,31,6.8,201011002.0,Ballarat
Loreto College,Loreto College,MARRYATVILLE,SA,-34.927394,138.642036,1070.0,75.0,950.0,2.0,5.0,31,6.8,201011002.0,Ballarat
Loreto College,Loreto College,MARRYATVILLE,SA,-34.927394,138.642036,1104.0,85.0,709.0,2.0,15.0,31,6.8,201011002.0,Ballarat
Loreto Mandeville Hall,Loreto Mandeville Hall,TOORAK,VIC,-37.848193,145.014892,1165.0,97.0,1229.0,0.0,11.0,35,26.4,206061138.0,Toorak
Lorne P-12 College,Lorne P-12 College,LORNE,VIC,-38.53917804,143.9738904,1038.0,64.0,143.0,1.0,7.0,23,3.9,203031049.0,Lorne - Anglesea
Lowanna College,Lowanna College,NEWBOROUGH,VIC,-38.17667934,146.28597982,950.0,24.0,1028.0,7.0,6.0,26,2.5,205041095.0,Moe - Newborough
Loyola College,Loyola College,WATSONIA,VIC,-37.703396,145.08073,1052.0,69.0,1446.0,0.0,11.0,30,4.7,209011204.0,Watsonia
Luther College,Luther College,CROYDON,VIC,-37.783056,145.272743,1133.0,92.0,1207.0,0.0,13.0,32,10.8,211031265.0,Croydon Hills - Warranwood
Lyndale Secondary College,Lyndale Secondary College,DANDENONG NORTH,VIC,-37.957779,145.206752,922.0,15.0,826.0,1.0,84.0,26,3.5,212041312.0,Dandenong North
Lyndhurst Secondary College,Lyndhurst Secondary College,CRANBOURNE,VIC,-38.075011,145.271218,935.0,19.0,832.0,2.0,52.0,27,1.5,212031560.0,Cranbourne North - West
Macleod College,Macleod College,MACLEOD,VIC,-37.724746,145.072218,1070.0,76.0,569.0,1.0,31.0,28,1.8,209011203.0,Viewbank - Yallambie
Maffra Secondary College,Maffra Secondary College,MAFFRA,VIC,-37.964888,146.982424,950.0,24.0,514.0,4.0,5.0,28,1,205051101.0,Maffra
Mallacoota P-12 College,Mallacoota P-12 College,MALLACOOTA,VIC,-37.559427,149.754296,1001.0,47.0,111.0,2.0,3.0,33,18.2,205021085.0,Orbost
Manor Lakes P-12 College,Manor Lakes P-12 College,WYNDHAM VALE,VIC,-37.874157,144.602275,1001.0,47.0,2890.0,3.0,62.0,24,3.2,213051579.0,Manor Lakes - Quandong
Mansfield Secondary College,Mansfield Secondary College,MANSFIELD,VIC,-37.062676,146.088565,1006.0,50.0,496.0,2.0,5.0,29,6.3,204011057.0,Mansfield (Vic.)
Maranatha Christian School,Maranatha Christian School,ENDEAVOUR HILLS,VIC,-37.9709190000001,145.278034,1098.0,84.0,988.0,0.0,57.0,31,7.7,212021453.0,Endeavour Hills - North
Marcellin College,Marcellin College,RANDWICK,NSW,-33.913571,151.240721,1102.0,85.0,957.0,2.0,50.0,31,5.1,207021156.0,Bulleen
Marcellin College,Marcellin College,RANDWICK,NSW,-33.913571,151.240721,1107.0,86.0,1173.0,0.0,4.0,31,5.1,207021156.0,Bulleen
Marcellin College,Marcellin College,BULLEEN,VIC,-37.774782,145.082675,1102.0,85.0,957.0,2.0,50.0,31,5.1,207021156.0,Bulleen
Marcellin College,Marcellin College,BULLEEN,VIC,-37.774782,145.082675,1107.0,86.0,1173.0,0.0,4.0,31,5.1,207021156.0,Bulleen
Marist College Bendigo,Marist College Bendigo,MAIDEN GULLY,VIC,-36.73171249,144.22169053,1037.0,63.0,1178.0,3.0,7.0,27,2.8,202011023.0,Maiden Gully
Mary MacKillop Catholic College,Mary MacKillop Catholic College,WAKELEY,NSW,-33.866026,150.910826,935.0,19.0,850.0,0.0,96.0,28,6.5,,
Mary MacKillop Catholic College,Mary MacKillop Catholic College,WAKELEY,NSW,-33.866026,150.910826,1047.0,67.0,994.0,4.0,4.0,28,6.5,,
Mary MacKillop Catholic College,Mary MacKillop Catholic College,HIGHFIELDS,QLD,-27.451246,151.942849,935.0,19.0,850.0,0.0,96.0,28,6.5,,
Mary MacKillop Catholic College,Mary MacKillop Catholic College,HIGHFIELDS,QLD,-27.451246,151.942849,1047.0,67.0,994.0,4.0,4.0,28,6.5,,
Maryborough Education Centre,Maryborough Education Centre,MARYBOROUGH,VIC,-37.041827,143.722657,924.0,16.0,931.0,8.0,4.0,26,2.1,201031016.0,Maryborough (Vic.)
Marymede Catholic College,Marymede Catholic College,SOUTH MORANG,VIC,-37.643315,145.091027,1062.0,73.0,2293.0,1.0,22.0,28,3.3,209041436.0,South Morang - South
Mater Christi College,Mater Christi College,BELGRAVE,VIC,-37.9106377,145.3588871,1093.0,82.0,686.0,0.0,13.0,31,7.4,211051274.0,Belgrave - Selby
Mazenod College,Mazenod College,MULGRAVE,VIC,-37.915204,145.166144,1084.0,80.0,1443.0,0.0,38.0,33,13.5,212051325.0,Mulgrave
Mazenod College,Mazenod College,MULGRAVE,VIC,-37.915204,145.166144,1068.0,75.0,866.0,3.0,12.0,33,13.5,212051325.0,Mulgrave
Mazenod College,Mazenod College,LESMURDIE,WA,-32.0067,116.039,1084.0,80.0,1443.0,0.0,38.0,33,13.5,212051325.0,Mulgrave
Mazenod College,Mazenod College,LESMURDIE,WA,-32.0067,116.039,1068.0,75.0,866.0,3.0,12.0,33,13.5,212051325.0,Mulgrave
McClelland Secondary College,McClelland Secondary College,FRANKSTON,VIC,-38.14667462,145.15836583,976.0,36.0,1055.0,4.0,10.0,30,3.6,214011372.0,Frankston North
McKinnon Secondary College,Mckinnon Secondary College,MCKINNON,VIC,-37.912027,145.049119,1113.0,88.0,2872.0,0.0,58.0,33,17.7,208021174.0,Bentleigh - McKinnon
Melbourne Girls Grammar,Melbourne Girls Grammar,SOUTH YARRA,VIC,-37.835293,144.988851,1187.0,99.0,1048.0,1.0,23.0,36,28.7,206061515.0,South Yarra - North
Melbourne Grammar School,Melbourne Grammar School,MELBOURNE,VIC,-37.833451,144.975911,1181.0,99.0,1856.0,1.0,19.0,36,28,206041125.0,South Yarra - West
Melbourne High School,Melbourne High School,SOUTH YARRA,VIC,-37.836829,144.995314,1185.0,99.0,1392.0,0.0,87.0,36,28.5,206061515.0,South Yarra - North
Melton Christian College,Melton Christian College,BROOKFIELD,VIC,-37.701012,144.560365,1043.0,65.0,1141.0,1.0,44.0,26,0.8,213041571.0,Brookfield
Melton Secondary College,Melton Secondary College,MELTON,VIC,-37.68244498,144.56688187,945.0,23.0,1492.0,4.0,42.0,24,1.2,213041358.0,Melton West
Mentone Girls' Grammar School,Mentone Girls' Grammar School,MENTONE,VIC,-37.989376,145.064534,1170.0,98.0,614.0,1.0,29.0,36,22.2,208031190.0,Mentone
Mentone Grammar School,Mentone Grammar School,MENTONE,VIC,-37.987688,145.068124,1145.0,94.0,1915.0,0.0,27.0,35,21.5,208031190.0,Mentone
Merbein P-10 College,Merbein P-10 College,MERBEIN,VIC,-34.16936534,142.07130846,944.0,22.0,641.0,13.0,2.0,-,-,215021396.0,Merbein
Mercy College,Mercy College,COBURG NORTH,VIC,-37.730398,144.964562,1045.0,66.0,410.0,1.0,47.0,29,6.2,210031236.0,Coburg North
Mercy College,Mercy College,COBURG NORTH,VIC,-37.730398,144.964562,991.0,42.0,1528.0,4.0,66.0,29,6.2,210031236.0,Coburg North
Mercy College,Mercy College,KOONDOOLA,WA,-31.84766796,115.8573138,1045.0,66.0,410.0,1.0,47.0,29,6.2,210031236.0,Coburg North
Mercy College,Mercy College,KOONDOOLA,WA,-31.84766796,115.8573138,991.0,42.0,1528.0,4.0,66.0,29,6.2,210031236.0,Coburg North
Mercy Regional College,Mercy Regional College,CAMPERDOWN,VIC,-38.234124,143.140746,1020.0,56.0,347.0,1.0,2.0,27,5,217031471.0,Camperdown
Mernda Central P-12 College,Mernda Central P-12 College,MERNDA,VIC,-37.603959,145.087925,1011.0,52.0,1705.0,2.0,47.0,28,5.7,209041532.0,Mernda - South
Mildura Senior College,Mildura Senior College,MILDURA,VIC,-34.19800387,142.14539009,977.0,36.0,996.0,8.0,15.0,26,2.8,215021470.0,Mildura - South
Mill Park Secondary College,Mill Park Secondary College,MILL PARK,VIC,-37.66390279,145.06286022,1011.0,52.0,1023.0,2.0,60.0,26,2.4,209041220.0,Mill Park - North
Minaret College,Minaret College,SPRINGVALE,VIC,-37.93863,145.149168,997.0,45.0,2908.0,0.0,92.0,28,3.7,212041317.0,Springvale
Minaret College,Minaret College,SPRINGVALE,VIC,-37.93863,145.149168,997.0,45.0,2908.0,0.0,92.0,26,4.4,212041317.0,Springvale
Monbulk College,Monbulk College,MONBULK,VIC,-37.88317535,145.42780676,1047.0,67.0,574.0,1.0,6.0,25,5.1,211051279.0,Monbulk - Silvan
Monivae College,Monivae College,HAMILTON,VIC,-37.74203709,142.04945362,1034.0,62.0,576.0,3.0,4.0,27,1.2,217011421.0,Hamilton (Vic.)
Monterey Secondary College,Monterey Secondary College,FRANKSTON NORTH,VIC,-38.12672883,145.14793052,919.0,15.0,416.0,8.0,8.0,21,4.5,214011372.0,Frankston North
Mooroolbark College,Mooroolbark College,MOOROOLBARK,VIC,-37.77508326,145.31423044,984.0,40.0,981.0,1.0,20.0,28,2.1,211051281.0,Mooroolbark
Mordialloc College,Mordialloc College,MORDIALLOC,VIC,-38.012301,145.09199,1063.0,73.0,1230.0,1.0,21.0,30,7,208031189.0,Edithvale - Aspendale
Mornington Secondary College,Mornington Secondary College,MORNINGTON,VIC,-38.2182617,145.05881042,1008.0,51.0,907.0,2.0,8.0,27,4.3,214021592.0,Mornington - West
Mount Clear College,Mount Clear College,MOUNT CLEAR,VIC,-37.60741829,143.8767265,996.0,45.0,996.0,3.0,5.0,26,1.4,201011483.0,Canadian - Mount Clear
Mount Evelyn Christian School,Mount Evelyn Christian School,MOUNT EVELYN,VIC,-37.79883442,145.3670969,1061.0,73.0,705.0,1.0,15.0,29,2.1,211051280.0,Montrose
Mount Lilydale Mercy College,Mount Lilydale Mercy College,LILYDALE,VIC,-37.75075881,145.3577545,1044.0,66.0,1521.0,2.0,3.0,29,2.7,211051278.0,Lilydale - Coldstream
Mount Ridley P-12 College,Mount Ridley P-12 College,CRAIGIEBURN,VIC,-37.58027078,144.92342175,971.0,34.0,2797.0,1.0,75.0,24,1.3,210051442.0,Craigieburn - North
Mount Rowan Secondary College,Mount Rowan Secondary College,WENDOUREE,VIC,-37.51987872,143.83419003,941.0,21.0,625.0,8.0,5.0,28,1.4,201011008.0,Wendouree - Miners Rest
Mount Scopus Memorial College,Mount Scopus Memorial College,BURWOOD,VIC,-37.847216,145.117774,1170.0,98.0,1210.0,0.0,21.0,37,30.8,207031165.0,Burwood (Vic.)
Mount St Joseph Girls' College,Mount St Joseph Girls' College,ALTONA,VIC,-37.863902,144.811674,1098.0,84.0,1170.0,0.0,35.0,31,7.1,213021341.0,Altona
Mt Hira College,Mt Hira College,KEYSBOROUGH,VIC,-38.013991,145.175471,1002.0,48.0,829.0,0.0,98.0,29,0,212041566.0,Keysborough - South
Murrayville Community College,Murrayville Community College,MURRAYVILLE,VIC,-35.26557452,141.17733647,993.0,43.0,78.0,0.0,11.0,28,0,215021398.0,Mildura Surrounds
Myrtleford P-12 College,Myrtleford P-12 College,MYRTLEFORD,VIC,-36.54888702,146.72614474,982.0,39.0,395.0,4.0,11.0,24,3.2,204031071.0,Myrtleford
Nagle College,Nagle College,BLACKTOWN,NSW,-33.790142,150.901741,1041.0,65.0,589.0,2.0,74.0,28,3,205021081.0,Bairnsdale
Nagle College,Nagle College,BLACKTOWN,NSW,-33.790142,150.901741,1015.0,54.0,783.0,5.0,3.0,28,3,205021081.0,Bairnsdale
Nagle College,Nagle College,BAIRNSDALE,VIC,-37.837096,147.587656,1041.0,65.0,589.0,2.0,74.0,28,3,205021081.0,Bairnsdale
Nagle College,Nagle College,BAIRNSDALE,VIC,-37.837096,147.587656,1015.0,54.0,783.0,5.0,3.0,28,3,205021081.0,Bairnsdale
Nathalia Secondary College,Nathalia Secondary College,NATHALIA,VIC,-36.059901,145.208438,930.0,18.0,101.0,15.0,5.0,20,2.9,216021413.0,Numurkah
Nazareth College,Nazareth College,WAVERLEY GARDENS,VIC,-37.940226,145.195459,1051.0,69.0,897.0,1.0,28.0,28,1.8,212041316.0,Noble Park North
Newcomb Secondary College,Newcomb Secondary College,NEWCOMB,VIC,-38.171306,144.395063,947.0,23.0,491.0,7.0,4.0,25,1,203021045.0,Newcomb - Moolap
Newhaven College,Newhaven College,RHYLL,VIC,-38.489711,145.26554,1079.0,78.0,905.0,1.0,8.0,30,5.1,205031091.0,Phillip Island
