School,School Name,Suburb,State,Latitude,Longitude,ICSEA,ICSEA Percentile,Total Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Median VCE study score,Percentage of study scores of 40 and over,Statistical Area 2,Statistical Area 2 Name
Balcombe Grammar School,Balcombe Grammar School,MOUNT MARTHA,VIC,-38.2738,145.033,1101.0,84.0,972.0,1.0,6.0,30,5.2,214021382.0,Mount Martha
Ballarat Christian College,Ballarat Christian College,SEBASTOPOL,VIC,-37.59333224,143.84324898,1060.0,72.0,360.0,1.0,31.0,25,0,201011484.0,Sebastopol - Redan
Ballarat Clarendon College,Ballarat Clarendon College,BALLARAT,VIC,-37.55964761,143.8336504,1171.0,98.0,1876.0,0.0,43.0,37,34.7,201011002.0,Ballarat
Ballarat Grammar,Ballarat Grammar,WENDOUREE,VIC,-37.539237,143.83083,1125.0,91.0,1930.0,1.0,10.0,32,11.7,201011008.0,Wendouree - Miners Rest
Ballarat High School,Ballarat High School,LAKE GARDENS,VIC,-37.554234,143.817713,1019.0,55.0,1419.0,3.0,11.0,29,2.2,201011002.0,Ballarat
Balwyn High School,Balwyn High School,BALWYN NORTH,VIC,-37.79785922,145.07677235,1143.0,94.0,2229.0,0.0,78.0,32,14.7,207011148.0,Balwyn North
Bannockburn P-12 College,Bannockburn P-12 College,BANNOCKBURN,VIC,-38.047092,144.16951,985.0,40.0,847.0,3.0,4.0,23,1.5,203011034.0,Bannockburn
Bass Coast College,Bass Coast College,WONTHAGGI,VIC,-38.609807,145.597177,991.0,42.0,1617.0,3.0,5.0,28,3.6,205031093.0,Wonthaggi - Inverloch
Bayside Christian College,Bayside Christian College,LANGWARRIN SOUTH,VIC,-38.178632,145.16302,1081.0,79.0,578.0,1.0,11.0,30,3.6,214011374.0,Langwarrin
Bayside P-12 College,Bayside P-12 College,WILLIAMSTOWN,VIC,-37.85770007,144.88521383,1009.0,51.0,1053.0,2.0,46.0,28,2.3,213021346.0,Williamstown
Bayswater Secondary College,Bayswater Secondary College,BAYSWATER,VIC,-37.83903,145.261998,980.0,38.0,228.0,2.0,13.0,26,0,211011251.0,Bayswater
Bayview College,Bayview College,PORTLAND,VIC,-38.3452,141.606,1011.0,52.0,287.0,9.0,1.0,27,1.4,217011422.0,Portland
Beaconhills College,Beaconhills College,PAKENHAM,VIC,-38.061898,145.467319,1089.0,81.0,2950.0,1.0,31.0,31,7.9,212011550.0,Pakenham - North West
Beaconhills College,Beaconhills College,PAKENHAM,VIC,-38.061898,145.467319,1089.0,81.0,2950.0,1.0,31.0,29,2.8,212011550.0,Pakenham - North West
Beaufort Secondary College,Beaufort Secondary College,BEAUFORT,VIC,-37.43831986,143.38254684,967.0,32.0,222.0,3.0,0.0,27,0,201031014.0,Beaufort
Beaumaris Secondary College,Beaumaris Secondary College,BEAUMARIS,VIC,-37.98163,145.033698,1111.0,87.0,928.0,0.0,15.0,30,5.9,208011168.0,Beaumaris
Beechworth Secondary College,Beechworth Secondary College,BEECHWORTH,VIC,-36.3471944894634,146.69064223671,1047.0,67.0,262.0,2.0,4.0,28,6.5,204031068.0,Beechworth
Bellarine Secondary College,Bellarine Secondary College,DRYSDALE,VIC,-38.191069,144.556993,1004.0,49.0,1155.0,3.0,6.0,28,4.9,203031048.0,Clifton Springs
Belmont High School,Belmont High School,BELMONT,NSW,-33.02720541,151.6595878,974.0,35.0,806.0,12.0,6.0,29,4.5,203021037.0,Belmont
Belmont High School,Belmont High School,BELMONT,NSW,-33.02720541,151.6595878,1044.0,66.0,1232.0,2.0,15.0,29,4.5,203021037.0,Belmont
Belmont High School,Belmont High School,BELMONT,VIC,-38.17555773,144.33058747,974.0,35.0,806.0,12.0,6.0,29,4.5,203021037.0,Belmont
Belmont High School,Belmont High School,BELMONT,VIC,-38.17555773,144.33058747,1044.0,66.0,1232.0,2.0,15.0,29,4.5,203021037.0,Belmont
Benalla P-12 College,Benalla P-12 College,BENALLA,VIC,-36.553372,145.963847,939.0,21.0,757.0,7.0,4.0,24,0.8,204021063.0,Benalla
Bentleigh Secondary College,Bentleigh Secondary College,BENTLEIGH EAST,VIC,-37.92767095,145.05991138,1077.0,78.0,915.0,1.0,31.0,30,5.6,208021427.0,Bentleigh East - South
Berwick Secondary College,Berwick Secondary College,BERWICK,VIC,-38.031068,145.364182,1023.0,57.0,1710.0,2.0,18.0,29,2.6,212021293.0,Berwick - North
Beth Rivkah Ladies College,Beth Rivkah Ladies College,ST KILDA EAST,VIC,-37.869629,145.001684,1080.0,79.0,508.0,0.0,23.0,35,23.5,208021177.0,Caulfield - North
Bialik College,Bialik College,HAWTHORN,VIC,-37.84197,145.043299,1171.0,98.0,929.0,0.0,29.0,36,29.7,207011152.0,Hawthorn East
Billanook College,Billanook College,MOOROOLBARK,VIC,-37.78785168,145.3388701,1104.0,85.0,842.0,1.0,11.0,31,7,211051281.0,Mooroolbark
Birchip P-12 School,Birchip P-12 School,BIRCHIP,VIC,-35.98438249,142.90993654,985.0,40.0,172.0,3.0,6.0,31,10.4,215031400.0,Buloke
Blackburn High School,Blackburn High School,BLACKBURN,VIC,-37.81037,145.149893,1097.0,83.0,1297.0,1.0,38.0,31,8.1,207031161.0,Blackburn
Boort District P-12 School,Boort District P-12 School,BOORT,VIC,-36.11042086,143.72681422,994.0,44.0,194.0,3.0,10.0,30,6.2,202031033.0,Loddon
Boronia K-12 College,Boronia K-12 College,BORONIA,VIC,-37.858934,145.289416,981.0,38.0,525.0,5.0,12.0,27,0.8,211011446.0,Boronia
Box Hill High School,Box Hill High School,BOX HILL,VIC,-37.82009053,145.13753866,1122.0,90.0,1519.0,0.0,65.0,32,11.8,207031163.0,Box Hill
Braemar College,Braemar College,WOODEND,VIC,-37.363765716552734,144.57632446289062,1119.0,89.0,1098.0,1.0,8.0,32,7.2,210021233.0,Macedon
Braybrook College,Braybrook College,BRAYBROOK,VIC,-37.777975,144.847568,971.0,34.0,1393.0,1.0,85.0,31,8.1,213031347.0,Braybrook
Brentwood Secondary College,Brentwood Secondary College,GLEN WAVERLEY,VIC,-37.89950842,145.16634324,1094.0,83.0,1624.0,0.0,63.0,30,5.9,212051321.0,Glen Waverley - East
Bright P-12 College,Bright P-12 College,BRIGHT,VIC,-36.733105,146.960928,1054.0,70.0,514.0,1.0,10.0,29,5.1,204031069.0,Bright - Mount Beauty
Brighton Grammar School,Brighton Grammar School,BRIGHTON,VIC,-37.911108,144.993524,1140.0,93.0,1461.0,0.0,10.0,35,24.3,208011169.0,Brighton (Vic.)
Brighton Secondary College,Brighton Secondary College,BRIGHTON EAST,VIC,-37.920156,145.019119,1117.0,89.0,947.0,0.0,38.0,30,6.3,208011170.0,Brighton East
Broadford Secondary College,Broadford Secondary College,BROADFORD,VIC,-37.204375,145.040033,967.0,32.0,809.0,5.0,5.0,22,0.7,204011056.0,Kilmore - Broadford
Brunswick Secondary College,Brunswick Secondary College,BRUNSWICK,VIC,-37.77099,144.956515,1121.0,90.0,1076.0,0.0,33.0,30,8.8,206011496.0,Brunswick - South
Buckley Park College,Buckley Park College,ESSENDON,VIC,-37.747117,144.897755,1080.0,79.0,870.0,0.0,45.0,29,5.7,206031501.0,Essendon (West) - Aberfeldie
Bundoora Secondary College,Bundoora Secondary College,BUNDOORA,VIC,-37.70757147,145.06157901,1031.0,61.0,510.0,3.0,24.0,26,1.7,209011196.0,Bundoora - East
Camberwell Grammar School,Camberwell Grammar School,CANTERBURY,VIC,-37.81589557,145.06726232,1203.0,99.0,1350.0,0.0,52.0,34,21.3,207011147.0,Balwyn
Camberwell High School,Camberwell High School,CANTERBURY,VIC,-37.830441,145.073035,1124.0,90.0,912.0,0.0,34.0,30,8.5,207011149.0,Camberwell
Camperdown College,Camperdown College,CAMPERDOWN,VIC,-38.239731,143.145435,983.0,39.0,378.0,3.0,3.0,28,0,217031471.0,Camperdown
Cann River P-12 College,Cann River P-12 College,CANN RIVER,VIC,-37.5697,149.153022,903.0,11.0,39.0,18.0,7.0,24,0,205021085.0,Orbost
Carey Baptist Grammar School,Carey Baptist Grammar School,KEW,VIC,-37.8158,145.048,1178.0,98.0,2564.0,0.0,33.0,33,11.8,207011521.0,Kew - South
Carwatha College P-12,Carwatha College P-12,NOBLE PARK,VIC,-37.94245361,145.1891273,978.0,37.0,653.0,3.0,58.0,27,0.5,212041316.0,Noble Park North
Casey Grammar School,Casey Grammar School,CRANBOURNE EAST,VIC,-38.11029539,145.29289885,1094.0,83.0,1124.0,0.0,58.0,30,6.2,212031558.0,Cranbourne East - South
Casterton Secondary College,Casterton Secondary College,CASTERTON,VIC,-37.588796,141.387493,952.0,25.0,112.0,3.0,2.0,28,0,217011420.0,Glenelg (Vic.)
Castlemaine Secondary College,Castlemaine Secondary College,CASTLEMAINE,VIC,-37.077088,144.214549,1050.0,68.0,719.0,3.0,4.0,26,2.1,202021027.0,Castlemaine
Catherine McAuley College,Catherine McAuley College,BENDIGO,VIC,-36.753444,144.273362,1053.0,70.0,1542.0,3.0,8.0,28,5.3,202011018.0,Bendigo
Catherine McAuley College,Catherine McAuley College,BENDIGO,VIC,-36.753444,144.273362,1027.0,59.0,428.0,4.0,7.0,28,5.3,202011018.0,Bendigo
Catherine McAuley College,Catherine McAuley College,MACKAY,QLD,-21.161936,149.159414,1053.0,70.0,1542.0,3.0,8.0,28,5.3,202011018.0,Bendigo
Catherine McAuley College,Catherine McAuley College,MACKAY,QLD,-21.161936,149.159414,1027.0,59.0,428.0,4.0,7.0,28,5.3,202011018.0,Bendigo
Catholic College Sale,Catholic College Sale,SALE,VIC,-38.108707,147.063779,1005.0,49.0,903.0,1.0,1.0,29,7,205051103.0,Sale
Catholic College Wodonga,Catholic College Wodonga,WODONGA,VIC,-36.12961895,146.86239014,1059.0,72.0,1230.0,3.0,7.0,28,3.8,204031073.0,West Wodonga
Caulfield Grammar School,Caulfield Grammar School,ST KILDA EAST,VIC,-37.877377,145.004887,1158.0,96.0,3429.0,1.0,41.0,33,17.2,208021177.0,Caulfield - North
Caulfield Grammar School,Caulfield Grammar School,ST KILDA EAST,VIC,-37.877377,145.004887,1158.0,96.0,3429.0,1.0,41.0,34,21.7,208021177.0,Caulfield - North
Chaffey Secondary College,Chaffey Secondary College,MILDURA,VIC,-34.19573,142.147985,878.0,7.0,709.0,28.0,22.0,I/D,I/D,215021469.0,Mildura - North
Chairo Christian School,Chairo Christian School,DROUIN,VIC,-38.142837,145.877116,1052.0,69.0,1626.0,1.0,25.0,31,4.8,205011076.0,Drouin
Chairo Christian School,Chairo Christian School,DROUIN,VIC,-38.142837,145.877116,1052.0,69.0,1626.0,1.0,25.0,I/D,I/D,205011076.0,Drouin
Chairo Christian School,Chairo Christian School,DROUIN,VIC,-38.142837,145.877116,1052.0,69.0,1626.0,1.0,25.0,28,4.8,205011076.0,Drouin
Charles La Trobe P-12 College,Charles La Trobe P-12 College,MACLEOD WEST,VIC,-37.72915436,145.05979101,940.0,21.0,770.0,16.0,47.0,-,-,209021205.0,Kingsbury
Charles La Trobe P-12 College,Charles La Trobe P-12 College,MACLEOD WEST,VIC,-37.72915436,145.05979101,940.0,21.0,770.0,16.0,47.0,24,0,209021205.0,Kingsbury
Charlton College,Charlton College,CHARLTON,VIC,-36.270312,143.359633,973.0,35.0,132.0,4.0,6.0,30,1.6,215031400.0,Buloke
Cheltenham Secondary College,Cheltenham Secondary College,CHELTENHAM,VIC,-37.953335,145.068585,1054.0,70.0,858.0,1.0,41.0,28,2.1,208031188.0,Highett (East) - Cheltenham
Cire Community School,Cire Community School,LILYDALE,VIC,-37.7571569719824,145.343976995644,986.0,40.0,482.0,4.0,1.0,-,-,211051278.0,Lilydale - Coldstream
Clonard College,Clonard College,HERNE HILL,VIC,-38.129766,144.33003,1049.0,68.0,939.0,2.0,7.0,29,5.4,203021040.0,Geelong West - Hamlyn Heights
Cobden Technical School,Cobden Technical School,COBDEN,VIC,-38.32403633,143.06360586,922.0,15.0,107.0,8.0,3.0,24,0,217031475.0,Corangamite - South
Cobram Anglican Grammar School,Cobram Anglican Grammar School,COBRAM,VIC,-35.924283,145.660055,1010.0,51.0,392.0,2.0,16.0,26,1.1,216021411.0,Cobram
Cobram Secondary College,Cobram Secondary College,COBRAM,VIC,-35.913605,145.654121,952.0,25.0,440.0,6.0,5.0,24,0.9,216021411.0,Cobram
Coburg High School,Coburg High School,COBURG,VIC,-37.740781,144.972778,1099.0,84.0,1275.0,1.0,23.0,30,8,206011497.0,Coburg - East
Cohuna Secondary College,Cohuna Secondary College,COHUNA,VIC,-35.813503,144.226425,970.0,33.0,173.0,2.0,5.0,28,4.2,215031401.0,Gannawarra
Colac Secondary College,Colac Secondary College,COLAC,VIC,-38.35149548,143.59010207,952.0,25.0,471.0,2.0,3.0,23,0,217031472.0,Colac
