School,School Name,Suburb,State,Latitude,Longitude,ICSEA,ICSEA Percentile,Total Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Median VCE study score,Percentage of study scores of 40 and over
Bayside Christian College,Bayside Christian College,LANGWARRIN SOUTH,VIC,-38.178632,145.16302,1081.0,79.0,578.0,1.0,11.0,30,3.6
Bayside P-12 College,Bayside P-12 College,WILLIAMSTOWN,VIC,-37.85770007,144.88521383,1009.0,51.0,1053.0,2.0,46.0,28,2.3
Bayswater Secondary College,Bayswater Secondary College,BAYSWATER,VIC,-37.83903,145.261998,980.0,38.0,228.0,2.0,13.0,26,0
Bayview College,Bayview College,PORTLAND,VIC,-38.3452,141.606,1011.0,52.0,287.0,9.0,1.0,27,1.4
Beaconhills College,Beaconhills College,PAKENHAM,VIC,-38.061898,145.467319,1089.0,81.0,2950.0,1.0,31.0,31,7.9
Beaconhills College,Beaconhills College,PAKENHAM,VIC,-38.061898,145.467319,1089.0,81.0,2950.0,1.0,31.0,29,2.8
Beaufort Secondary College,Beaufort Secondary College,BEAUFORT,VIC,-37.43831986,143.38254684,967.0,32.0,222.0,3.0,0.0,27,0
Beaumaris Secondary College,Beaumaris Secondary College,BEAUMARIS,VIC,-37.98163,145.033698,1111.0,87.0,928.0,0.0,15.0,30,5.9
Beechworth Secondary College,Beechworth Secondary College,BEECHWORTH,VIC,-36.3471944894634,146.69064223671,1047.0,67.0,262.0,2.0,4.0,28,6.5
Bellarine Secondary College,Bellarine Secondary College,DRYSDALE,VIC,-38.191069,144.556993,1004.0,49.0,1155.0,3.0,6.0,28,4.9
Belmont High School,Belmont High School,BELMONT,NSW,-33.02720541,151.6595878,974.0,35.0,806.0,12.0,6.0,29,4.5
Belmont High School,Belmont High School,BELMONT,NSW,-33.02720541,151.6595878,1044.0,66.0,1232.0,2.0,15.0,29,4.5
Belmont High School,Belmont High School,BELMONT,VIC,-38.17555773,144.33058747,974.0,35.0,806.0,12.0,6.0,29,4.5
Belmont High School,Belmont High School,BELMONT,VIC,-38.17555773,144.33058747,1044.0,66.0,1232.0,2.0,15.0,29,4.5
Benalla P-12 College,Benalla P-12 College,BENALLA,VIC,-36.553372,145.963847,939.0,21.0,757.0,7.0,4.0,24,0.8
Bentleigh Secondary College,Bentleigh Secondary College,BENTLEIGH EAST,VIC,-37.92767095,145.05991138,1077.0,78.0,915.0,1.0,31.0,30,5.6
Berwick Secondary College,Berwick Secondary College,BERWICK,VIC,-38.031068,145.364182,1023.0,57.0,1710.0,2.0,18.0,29,2.6
Beth Rivkah Ladies College,Beth Rivkah Ladies College,ST KILDA EAST,VIC,-37.869629,145.001684,1080.0,79.0,508.0,0.0,23.0,35,23.5
Bialik College,Bialik College,HAWTHORN,VIC,-37.84197,145.043299,1171.0,98.0,929.0,0.0,29.0,36,29.7
Billanook College,Billanook College,MOOROOLBARK,VIC,-37.78785168,145.3388701,1104.0,85.0,842.0,1.0,11.0,31,7
Birchip P-12 School,Birchip P-12 School,BIRCHIP,VIC,-35.98438249,142.90993654,985.0,40.0,172.0,3.0,6.0,31,10.4
Blackburn High School,Blackburn High School,BLACKBURN,VIC,-37.81037,145.149893,1097.0,83.0,1297.0,1.0,38.0,31,8.1
Boort District P-12 School,Boort District P-12 School,BOORT,VIC,-36.11042086,143.72681422,994.0,44.0,194.0,3.0,10.0,30,6.2
Boronia K-12 College,Boronia K-12 College,BORONIA,VIC,-37.858934,145.289416,981.0,38.0,525.0,5.0,12.0,27,0.8
Box Hill High School,Box Hill High School,BOX HILL,VIC,-37.82009053,145.13753866,1122.0,90.0,1519.0,0.0,65.0,32,11.8
Braemar College,Braemar College,WOODEND,VIC,-37.363765716552734,144.57632446289062,1119.0,89.0,1098.0,1.0,8.0,32,7.2
Braybrook College,Braybrook College,BRAYBROOK,VIC,-37.777975,144.847568,971.0,34.0,1393.0,1.0,85.0,31,8.1
Brentwood Secondary College,Brentwood Secondary College,GLEN WAVERLEY,VIC,-37.89950842,145.16634324,1094.0,83.0,1624.0,0.0,63.0,30,5.9
Bright P-12 College,Bright P-12 College,BRIGHT,VIC,-36.733105,146.960928,1054.0,70.0,514.0,1.0,10.0,29,5.1
Brighton Grammar School,Brighton Grammar School,BRIGHTON,VIC,-37.911108,144.993524,1140.0,93.0,1461.0,0.0,10.0,35,24.3
Brighton Secondary College,Brighton Secondary College,BRIGHTON EAST,VIC,-37.920156,145.019119,1117.0,89.0,947.0,0.0,38.0,30,6.3
Broadford Secondary College,Broadford Secondary College,BROADFORD,VIC,-37.204375,145.040033,967.0,32.0,809.0,5.0,5.0,22,0.7
Brunswick Secondary College,Brunswick Secondary College,BRUNSWICK,VIC,-37.77099,144.956515,1121.0,90.0,1076.0,0.0,33.0,30,8.8
Buckley Park College,Buckley Park College,ESSENDON,VIC,-37.747117,144.897755,1080.0,79.0,870.0,0.0,45.0,29,5.7
Bundoora Secondary College,Bundoora Secondary College,BUNDOORA,VIC,-37.70757147,145.06157901,1031.0,61.0,510.0,3.0,24.0,26,1.7
Camberwell Grammar School,Camberwell Grammar School,CANTERBURY,VIC,-37.81589557,145.06726232,1203.0,99.0,1350.0,0.0,52.0,34,21.3
Camberwell High School,Camberwell High School,CANTERBURY,VIC,-37.830441,145.073035,1124.0,90.0,912.0,0.0,34.0,30,8.5
Camperdown College,Camperdown College,CAMPERDOWN,VIC,-38.239731,143.145435,983.0,39.0,378.0,3.0,3.0,28,0
Cann River P-12 College,Cann River P-12 College,CANN RIVER,VIC,-37.5697,149.153022,903.0,11.0,39.0,18.0,7.0,24,0
Carey Baptist Grammar School,Carey Baptist Grammar School,KEW,VIC,-37.8158,145.048,1178.0,98.0,2564.0,0.0,33.0,33,11.8
Carwatha College P-12,Carwatha College P-12,NOBLE PARK,VIC,-37.94245361,145.1891273,978.0,37.0,653.0,3.0,58.0,27,0.5
Casey Grammar School,Casey Grammar School,CRANBOURNE EAST,VIC,-38.11029539,145.29289885,1094.0,83.0,1124.0,0.0,58.0,30,6.2
Casterton Secondary College,Casterton Secondary College,CASTERTON,VIC,-37.588796,141.387493,952.0,25.0,112.0,3.0,2.0,28,0
Castlemaine Secondary College,Castlemaine Secondary College,CASTLEMAINE,VIC,-37.077088,144.214549,1050.0,68.0,719.0,3.0,4.0,26,2.1
Catherine McAuley College,Catherine McAuley College,BENDIGO,VIC,-36.753444,144.273362,1053.0,70.0,1542.0,3.0,8.0,28,5.3
Catherine McAuley College,Catherine McAuley College,BENDIGO,VIC,-36.753444,144.273362,1027.0,59.0,428.0,4.0,7.0,28,5.3
Catherine McAuley College,Catherine McAuley College,MACKAY,QLD,-21.161936,149.159414,1053.0,70.0,1542.0,3.0,8.0,28,5.3
Catherine McAuley College,Catherine McAuley College,MACKAY,QLD,-21.161936,149.159414,1027.0,59.0,428.0,4.0,7.0,28,5.3
Catholic College Sale,Catholic College Sale,SALE,VIC,-38.108707,147.063779,1005.0,49.0,903.0,1.0,1.0,29,7
Catholic College Wodonga,Catholic College Wodonga,WODONGA,VIC,-36.12961895,146.86239014,1059.0,72.0,1230.0,3.0,7.0,28,3.8
Caulfield Grammar School,Caulfield Grammar School,ST KILDA EAST,VIC,-37.877377,145.004887,1158.0,96.0,3429.0,1.0,41.0,33,17.2
Caulfield Grammar School,Caulfield Grammar School,ST KILDA EAST,VIC,-37.877377,145.004887,1158.0,96.0,3429.0,1.0,41.0,34,21.7
Chaffey Secondary College,Chaffey Secondary College,MILDURA,VIC,-34.19573,142.147985,878.0,7.0,709.0,28.0,22.0,I/D,I/D
Chairo Christian School,Chairo Christian School,DROUIN,VIC,-38.142837,145.877116,1052.0,69.0,1626.0,1.0,25.0,31,4.8
Chairo Christian School,Chairo Christian School,DROUIN,VIC,-38.142837,145.877116,1052.0,69.0,1626.0,1.0,25.0,I/D,I/D
Chairo Christian School,Chairo Christian School,DROUIN,VIC,-38.142837,145.877116,1052.0,69.0,1626.0,1.0,25.0,28,4.8
