School,School Name,Suburb,State,Latitude,Longitude,ICSEA,ICSEA Percentile,Total Enrolments,Indigenous Enrolments (%),Language Background Other Than English - Yes (%),Median VCE study score,Percentage of study scores of 40 and over
Holy Trinity Lutheran College,Holy Trinity Lutheran College,HORSHAM,VIC,-36.708181,142.217749,1060.0,72.0,581.0,2.0,8.0,30,8.8
Hopetoun P-12 College,Hopetoun P-12 College,HOPETOUN,VIC,-35.73486974,142.36602962,940.0,21.0,78.0,5.0,2.0,27,0
Horsham College,Horsham College,HORSHAM,VIC,-36.707706,142.187075,970.0,33.0,1009.0,5.0,7.0,29,5.2
Hume Anglican Grammar,Hume Anglican Grammar,MICKLEHAM,VIC,-37.568405,144.931491,1092.0,82.0,2677.0,0.0,82.0,30,9.4
Huntingtower School,Huntingtower School,MOUNT WAVERLEY,VIC,-37.876741,145.136288,1194.0,99.0,752.0,0.0,74.0,37,31.7
Ignatius Learning Centre,Ignatius Learning Centre,RICHMOND,VIC,-37.82215686,144.9981578,1044.0,66.0,38.0,11.0,14.0,-,-
Ilim College,Ilim College,DALLAS,VIC,-37.668621,144.930072,1019.0,55.0,2769.0,0.0,95.0,27,5.2
Ilim College,Ilim College,DALLAS,VIC,-37.668621,144.930072,1019.0,55.0,2769.0,0.0,95.0,32,3.6
Indie School Wodonga,Indie School Wodonga,WODONGA,VIC,-36.118028,146.889403,925.0,16.0,1575.0,10.0,8.0,I/D,I/D
Iona College Geelong,Iona College Geelong,CHARLEMONT,VIC,-38.2205,144.3548,1077.0,78.0,1044.0,1.0,4.0,33,6.1
Irymple Secondary College,Irymple Secondary College,IRYMPLE,VIC,-34.23232674,142.16470312,1005.0,49.0,627.0,5.0,5.0,-,-
Islamic College of Melbourne,Islamic College Of Melbourne,TARNEIT,VIC,-37.85474629,144.66015383,1081.0,79.0,1875.0,0.0,77.0,31,12.7
Ivanhoe Girls' Grammar School,Ivanhoe Girls' Grammar School,IVANHOE,VIC,-37.766522068351,145.047477413679,1183.0,99.0,863.0,0.0,10.0,35,21.2
Ivanhoe Grammar School,Ivanhoe Grammar School,IVANHOE,VIC,-37.772515,145.044477,1163.0,97.0,2448.0,0.0,26.0,34,17.8
Ivanhoe Grammar School,Ivanhoe Grammar School,IVANHOE,VIC,-37.772515,145.044477,1163.0,97.0,2448.0,0.0,26.0,33,16
John Monash Science School,John Monash Science School,CLAYTON,VIC,-37.91419502,145.12878264,1126.0,91.0,656.0,0.0,73.0,36,22.5
John Paul College,John Paul College,FRANKSTON,VIC,-38.134567,145.139395,1051.0,69.0,1234.0,1.0,10.0,28,4.6
John Paul College,John Paul College,FRANKSTON,VIC,-38.134567,145.139395,1120.0,89.0,2105.0,2.0,49.0,28,4.6
John Paul College,John Paul College,FRANKSTON,VIC,-38.134567,145.139395,1005.0,49.0,689.0,5.0,28.0,28,4.6
John Paul College,John Paul College,DAISY HILL,QLD,-27.63364071,153.14832272,1051.0,69.0,1234.0,1.0,10.0,28,4.6
John Paul College,John Paul College,DAISY HILL,QLD,-27.63364071,153.14832272,1120.0,89.0,2105.0,2.0,49.0,28,4.6
John Paul College,John Paul College,DAISY HILL,QLD,-27.63364071,153.14832272,1005.0,49.0,689.0,5.0,28.0,28,4.6
John Paul College,John Paul College,KALGOORLIE,WA,-30.7546,121.469,1051.0,69.0,1234.0,1.0,10.0,28,4.6
John Paul College,John Paul College,KALGOORLIE,WA,-30.7546,121.469,1120.0,89.0,2105.0,2.0,49.0,28,4.6
John Paul College,John Paul College,KALGOORLIE,WA,-30.7546,121.469,1005.0,49.0,689.0,5.0,28.0,28,4.6
Kambrya College,Kambrya College,BERWICK,VIC,-38.05368819,145.34740996,1041.0,65.0,2158.0,1.0,50.0,31,5.6
Kerang Christian College,Kerang Christian College,KERANG,VIC,-35.730422,143.913416,1002.0,48.0,134.0,4.0,7.0,29,15.9
Kerang Technical High School,Kerang Technical High School,KERANG,VIC,-35.725651,143.913802,950.0,24.0,253.0,11.0,3.0,26,2.6
Kew High School,Kew High School,KEW EAST,VIC,-37.794722,145.061556,1114.0,88.0,1038.0,0.0,38.0,30,7.1
Kilbreda College,Kilbreda College,MENTONE,VIC,-37.984153,145.065712,1076.0,77.0,921.0,1.0,12.0,32,10.3
Killester College,Killester College,SPRINGVALE,VIC,-37.959071,145.152017,1015.0,53.0,971.0,0.0,52.0,30,5.3
Kilvington Grammar School,Kilvington Grammar School,ORMOND,VIC,-37.899519,145.041216,1183.0,99.0,759.0,0.0,40.0,33,18.3
Kingswood College,Kingswood College,BOX HILL,VIC,-37.832777,145.118628,1151.0,95.0,576.0,1.0,31.0,32,11.8
Kolbe Catholic College,Kolbe Catholic College,GREENVALE,VIC,-37.61565904,144.90988638,980.0,38.0,1259.0,1.0,42.0,27,4.8
Kolbe Catholic College,Kolbe Catholic College,GREENVALE,VIC,-37.61565904,144.90988638,1047.0,67.0,1254.0,4.0,16.0,27,4.8
Kolbe Catholic College,Kolbe Catholic College,ROCKINGHAM,WA,-32.28023,115.75325,980.0,38.0,1259.0,1.0,42.0,27,4.8
Kolbe Catholic College,Kolbe Catholic College,ROCKINGHAM,WA,-32.28023,115.75325,1047.0,67.0,1254.0,4.0,16.0,27,4.8
Koonung Secondary College,Koonung Secondary College,MONT ALBERT NORTH,VIC,-37.8027350322484,145.115283891461,1102.0,85.0,1197.0,0.0,55.0,32,9.8
Korowa Anglican Girls' School,Korowa Anglican Girls' School,GLEN IRIS,VIC,-37.861454,145.054637,1199.0,99.0,747.0,0.0,44.0,35,21.2
Kurnai College,Kurnai College,MORWELL,VIC,-38.228791,146.432788,911.0,13.0,1226.0,12.0,7.0,24,0.8
Kurunjang Secondary College,Kurunjang Secondary College,MELTON,VIC,-37.67318002,144.58582721,946.0,23.0,880.0,3.0,38.0,24,2.3
Kyabram P-12 College,Kyabram P-12 College,KYABRAM,VIC,-36.317476,145.056207,950.0,24.0,898.0,8.0,7.0,23,0
Lakeview Senior College,Lakeview Senior College,CAROLINE SPRINGS,VIC,-37.73116305,144.74013589,1009.0,51.0,989.0,1.0,59.0,27,2.3
Lalor Secondary College,Lalor Secondary College,LALOR,VIC,-37.671732,145.030585,966.0,31.0,1128.0,1.0,76.0,26,2.3
Lara Secondary College,Lara Secondary College,LARA,VIC,-38.01839851,144.41233424,970.0,33.0,630.0,3.0,11.0,25,1.5
Lavalla Catholic College,Lavalla Catholic College,TRARALGON,VIC,-38.200886266954285,146.51419568451692,1030.0,60.0,1306.0,1.0,7.0,30,4.4
Lavers Hill K-12 College,Lavers Hill K-12 College,LAVERS HILL,VIC,-38.681844,143.383051,915.0,14.0,54.0,9.0,2.0,I/D,I/D
Laverton P-12 College,Laverton P-12 College,LAVERTON,VIC,-37.85617409,144.77263287,932.0,18.0,687.0,1.0,70.0,24,3.7
Leibler Yavneh College,Leibler Yavneh College,ELSTERNWICK,VIC,-37.892871,145.006626,1123.0,90.0,579.0,0.0,21.0,35,23.6
Leongatha Secondary College,Leongatha Secondary College,LEONGATHA,VIC,-38.47868659,145.96124111,990.0,42.0,624.0,3.0,2.0,29,1
Lighthouse Christian College,Lighthouse Christian College,KEYSBOROUGH,VIC,-38.001083,145.142986,1079.0,79.0,792.0,0.0,85.0,30,3.2
Lighthouse Christian College,Lighthouse Christian College,KEYSBOROUGH,VIC,-38.001083,145.142986,1079.0,79.0,792.0,0.0,85.0,30,7.7
Lilydale Heights College,Lilydale Heights College,LILYDALE,VIC,-37.7458221,145.34140676,1000.0,47.0,818.0,2.0,5.0,26,3.7
Lilydale High School,Lilydale High School,LILYDALE,VIC,-37.76073331,145.34521687,1014.0,53.0,1426.0,2.0,5.0,27,2
Little Yarra Steiner School,Little Yarra Steiner School,YARRA JUNCTION,VIC,-37.79444291,145.631163,1064.0,74.0,262.0,1.0,15.0,29,0
Loreto College,Loreto College,BALLARAT,VIC,-37.55686069,143.8234695,1070.0,75.0,950.0,2.0,5.0,31,6.8
Loreto College,Loreto College,BALLARAT,VIC,-37.55686069,143.8234695,1104.0,85.0,709.0,2.0,15.0,31,6.8
Loreto College,Loreto College,MARRYATVILLE,SA,-34.927394,138.642036,1070.0,75.0,950.0,2.0,5.0,31,6.8
Loreto College,Loreto College,MARRYATVILLE,SA,-34.927394,138.642036,1104.0,85.0,709.0,2.0,15.0,31,6.8
Loreto Mandeville Hall,Loreto Mandeville Hall,TOORAK,VIC,-37.848193,145.014892,1165.0,97.0,1229.0,0.0,11.0,35,26.4
Lorne P-12 College,Lorne P-12 College,LORNE,VIC,-38.53917804,143.9738904,1038.0,64.0,143.0,1.0,7.0,23,3.9
Lowanna College,Lowanna College,NEWBOROUGH,VIC,-38.17667934,146.28597982,950.0,24.0,1028.0,7.0,6.0,26,2.5
Loyola College,Loyola College,WATSONIA,VIC,-37.703396,145.08073,1052.0,69.0,1446.0,0.0,11.0,30,4.7
Luther College,Luther College,CROYDON,VIC,-37.783056,145.272743,1133.0,92.0,1207.0,0.0,13.0,32,10.8
Lyndale Secondary College,Lyndale Secondary College,DANDENONG NORTH,VIC,-37.957779,145.206752,922.0,15.0,826.0,1.0,84.0,26,3.5
Lyndhurst Secondary College,Lyndhurst Secondary College,CRANBOURNE,VIC,-38.075011,145.271218,935.0,19.0,832.0,2.0,52.0,27,1.5
Macleod College,Macleod College,MACLEOD,VIC,-37.724746,145.072218,1070.0,76.0,569.0,1.0,31.0,28,1.8
Maffra Secondary College,Maffra Secondary College,MAFFRA,VIC,-37.964888,146.982424,950.0,24.0,514.0,4.0,5.0,28,1
Mallacoota P-12 College,Mallacoota P-12 College,MALLACOOTA,VIC,-37.559427,149.754296,1001.0,47.0,111.0,2.0,3.0,33,18.2
Manor Lakes P-12 College,Manor Lakes P-12 College,WYNDHAM VALE,VIC,-37.874157,144.602275,1001.0,47.0,2890.0,3.0,62.0,24,3.2
Mansfield Secondary College,Mansfield Secondary College,MANSFIELD,VIC,-37.062676,146.088565,1006.0,50.0,496.0,2.0,5.0,29,6.3
Maranatha Christian School,Maranatha Christian School,ENDEAVOUR HILLS,VIC,-37.9709190000001,145.278034,1098.0,84.0,988.0,0.0,57.0,31,7.7
Marcellin College,Marcellin College,RANDWICK,NSW,-33.913571,151.240721,1102.0,85.0,957.0,2.0,50.0,31,5.1
Marcellin College,Marcellin College,RANDWICK,NSW,-33.913571,151.240721,1107.0,86.0,1173.0,0.0,4.0,31,5.1
Marcellin College,Marcellin College,BULLEEN,VIC,-37.774782,145.082675,1102.0,85.0,957.0,2.0,50.0,31,5.1
Marcellin College,Marcellin College,BULLEEN,VIC,-37.774782,145.082675,1107.0,86.0,1173.0,0.0,4.0,31,5.1
Marist College Bendigo,Marist College Bendigo,MAIDEN GULLY,VIC,-36.73171249,144.22169053,1037.0,63.0,1178.0,3.0,7.0,27,2.8
Mary MacKillop Catholic College,Mary MacKillop Catholic College,WAKELEY,NSW,-33.866026,150.910826,935.0,19.0,850.0,0.0,96.0,28,6.5
Mary MacKillop Catholic College,Mary MacKillop Catholic College,WAKELEY,NSW,-33.866026,150.910826,1047.0,67.0,994.0,4.0,4.0,28,6.5
Mary MacKillop Catholic College,Mary MacKillop Catholic College,HIGHFIELDS,QLD,-27.451246,151.942849,935.0,19.0,850.0,0.0,96.0,28,6.5
Mary MacKillop Catholic College,Mary MacKillop Catholic College,HIGHFIELDS,QLD,-27.451246,151.942849,1047.0,67.0,994.0,4.0,4.0,28,6.5
Maryborough Education Centre,Maryborough Education Centre,MARYBOROUGH,VIC,-37.041827,143.722657,924.0,16.0,931.0,8.0,4.0,26,2.1
Marymede Catholic College,Marymede Catholic College,SOUTH MORANG,VIC,-37.643315,145.091027,1062.0,73.0,2293.0,1.0,22.0,28,3.3
Mater Christi College,Mater Christi College,BELGRAVE,VIC,-37.9106377,145.3588871,1093.0,82.0,686.0,0.0,13.0,31,7.4
Mazenod College,Mazenod College,MULGRAVE,VIC,-37.915204,145.166144,1084.0,80.0,1443.0,0.0,38.0,33,13.5
Mazenod College,Mazenod College,MULGRAVE,VIC,-37.915204,145.166144,1068.0,75.0,866.0,3.0,12.0,33,13.5
Mazenod College,Mazenod College,LESMURDIE,WA,-32.0067,116.039,1084.0,80.0,1443.0,0.0,38.0,33,13.5
Mazenod College,Mazenod College,LESMURDIE,WA,-32.0067,116.039,1068.0,75.0,866.0,3.0,12.0,33,13.5
McClelland Secondary College,McClelland Secondary College,FRANKSTON,VIC,-38.14667462,145.15836583,976.0,36.0,1055.0,4.0,10.0,30,3.6
McKinnon Secondary College,Mckinnon Secondary College,MCKINNON,VIC,-37.912027,145.049119,1113.0,88.0,2872.0,0.0,58.0,33,17.7
Melbourne Girls Grammar,Melbourne Girls Grammar,SOUTH YARRA,VIC,-37.835293,144.988851,1187.0,99.0,1048.0,1.0,23.0,36,28.7
Melbourne Grammar School,Melbourne Grammar School,MELBOURNE,VIC,-37.833451,144.975911,1181.0,99.0,1856.0,1.0,19.0,36,28
Melbourne High School,Melbourne High School,SOUTH YARRA,VIC,-37.836829,144.995314,1185.0,99.0,1392.0,0.0,87.0,36,28.5
Melton Christian College,Melton Christian College,BROOKFIELD,VIC,-37.701012,144.560365,1043.0,65.0,1141.0,1.0,44.0,26,0.8
Melton Secondary College,Melton Secondary College,MELTON,VIC,-37.68244498,144.56688187,945.0,23.0,1492.0,4.0,42.0,24,1.2
Mentone Girls' Grammar School,Mentone Girls' Grammar School,MENTONE,VIC,-37.989376,145.064534,1170.0,98.0,614.0,1.0,29.0,36,22.2
Mentone Grammar School,Mentone Grammar School,MENTONE,VIC,-37.987688,145.068124,1145.0,94.0,1915.0,0.0,27.0,35,21.5
Merbein P-10 College,Merbein P-10 College,MERBEIN,VIC,-34.16936534,142.07130846,944.0,22.0,641.0,13.0,2.0,-,-
Mercy College,Mercy College,COBURG NORTH,VIC,-37.730398,144.964562,1045.0,66.0,410.0,1.0,47.0,29,6.2
Mercy College,Mercy College,COBURG NORTH,VIC,-37.730398,144.964562,991.0,42.0,1528.0,4.0,66.0,29,6.2
Mercy College,Mercy College,KOONDOOLA,WA,-31.84766796,115.8573138,1045.0,66.0,410.0,1.0,47.0,29,6.2
Mercy College,Mercy College,KOONDOOLA,WA,-31.84766796,115.8573138,991.0,42.0,1528.0,4.0,66.0,29,6.2
Mercy Regional College,Mercy Regional College,CAMPERDOWN,VIC,-38.234124,143.140746,1020.0,56.0,347.0,1.0,2.0,27,5
Mernda Central P-12 College,Mernda Central P-12 College,MERNDA,VIC,-37.603959,145.087925,1011.0,52.0,1705.0,2.0,47.0,28,5.7
Mildura Senior College,Mildura Senior College,MILDURA,VIC,-34.19800387,142.14539009,977.0,36.0,996.0,8.0,15.0,26,2.8
Mill Park Secondary College,Mill Park Secondary College,MILL PARK,VIC,-37.66390279,145.06286022,1011.0,52.0,1023.0,2.0,60.0,26,2.4
Minaret College,Minaret College,SPRINGVALE,VIC,-37.93863,145.149168,997.0,45.0,2908.0,0.0,92.0,28,3.7
Minaret College,Minaret College,SPRINGVALE,VIC,-37.93863,145.149168,997.0,45.0,2908.0,0.0,92.0,26,4.4
Monbulk College,Monbulk College,MONBULK,VIC,-37.88317535,145.42780676,1047.0,67.0,574.0,1.0,6.0,25,5.1
Monivae College,Monivae College,HAMILTON,VIC,-37.74203709,142.04945362,1034.0,62.0,576.0,3.0,4.0,27,1.2
Monterey Secondary College,Monterey Secondary College,FRANKSTON NORTH,VIC,-38.12672883,145.14793052,919.0,15.0,416.0,8.0,8.0,21,4.5
Mooroolbark College,Mooroolbark College,MOOROOLBARK,VIC,-37.77508326,145.31423044,984.0,40.0,981.0,1.0,20.0,28,2.1
Mordialloc College,Mordialloc College,MORDIALLOC,VIC,-38.012301,145.09199,1063.0,73.0,1230.0,1.0,21.0,30,7
Mornington Secondary College,Mornington Secondary College,MORNINGTON,VIC,-38.2182617,145.05881042,1008.0,51.0,907.0,2.0,8.0,27,4.3
Mount Clear College,Mount Clear College,MOUNT CLEAR,VIC,-37.60741829,143.8767265,996.0,45.0,996.0,3.0,5.0,26,1.4
Mount Evelyn Christian School,Mount Evelyn Christian School,MOUNT EVELYN,VIC,-37.79883442,145.3670969,1061.0,73.0,705.0,1.0,15.0,29,2.1
Mount Lilydale Mercy College,Mount Lilydale Mercy College,LILYDALE,VIC,-37.75075881,145.3577545,1044.0,66.0,1521.0,2.0,3.0,29,2.7
Mount Ridley P-12 College,Mount Ridley P-12 College,CRAIGIEBURN,VIC,-37.58027078,144.92342175,971.0,34.0,2797.0,1.0,75.0,24,1.3
Mount Rowan Secondary College,Mount Rowan Secondary College,WENDOUREE,VIC,-37.51987872,143.83419003,941.0,21.0,625.0,8.0,5.0,28,1.4
Mount Scopus Memorial College,Mount Scopus Memorial College,BURWOOD,VIC,-37.847216,145.117774,1170.0,98.0,1210.0,0.0,21.0,37,30.8
Mount St Joseph Girls' College,Mount St Joseph Girls' College,ALTONA,VIC,-37.863902,144.811674,1098.0,84.0,1170.0,0.0,35.0,31,7.1
Mt Hira College,Mt Hira College,KEYSBOROUGH,VIC,-38.013991,145.175471,1002.0,48.0,829.0,0.0,98.0,29,0
Murrayville Community College,Murrayville Community College,MURRAYVILLE,VIC,-35.26557452,141.17733647,993.0,43.0,78.0,0.0,11.0,28,0
Myrtleford P-12 College,Myrtleford P-12 College,MYRTLEFORD,VIC,-36.54888702,146.72614474,982.0,39.0,395.0,4.0,11.0,24,3.2
Nagle College,Nagle College,BLACKTOWN,NSW,-33.790142,150.901741,1041.0,65.0,589.0,2.0,74.0,28,3
Nagle College,Nagle College,BLACKTOWN,NSW,-33.790142,150.901741,1015.0,54.0,783.0,5.0,3.0,28,3
Nagle College,Nagle College,BAIRNSDALE,VIC,-37.837096,147.587656,1041.0,65.0,589.0,2.0,74.0,28,3
Nagle College,Nagle College,BAIRNSDALE,VIC,-37.837096,147.587656,1015.0,54.0,783.0,5.0,3.0,28,3
Nathalia Secondary College,Nathalia Secondary College,NATHALIA,VIC,-36.059901,145.208438,930.0,18.0,101.0,15.0,5.0,20,2.9
Nazareth College,Nazareth College,WAVERLEY GARDENS,VIC,-37.940226,145.195459,1051.0,69.0,897.0,1.0,28.0,28,1.8
Newcomb Secondary College,Newcomb Secondary College,NEWCOMB,VIC,-38.171306,144.395063,947.0,23.0,491.0,7.0,4.0,25,1
Newhaven College,Newhaven College,RHYLL,VIC,-38.489711,145.26554,1079.0,78.0,905.0,1.0,8.0,30,5.1
Nhill College,Nhill College,NHILL,VIC,-36.33260253,141.65886004,942.0,22.0,224.0,3.0,23.0,23,0
Noble Park Secondary College,Noble Park Secondary College,NOBLE PARK,VIC,-37.970209,145.182369,933.0,18.0,541.0,0.0,88.0,25,0.5
Northcote High School,Northcote High School,NORTHCOTE,VIC,-37.774156,144.989706,1151.0,95.0,1739.0,0.0,25.0,30,8.5
Northern Bay P-12 College,Northern Bay P-12 College,CORIO,VIC,-38.079288,144.355525,877.0,7.0,1831.0,9.0,36.0,24,2.2
Northside Christian College,Northside Christian College,BUNDOORA,VIC,-37.69501422,145.0546707,1100.0,84.0,612.0,0.0,45.0,30,13.1
Northside Christian College,Northside Christian College,BUNDOORA,VIC,-37.69501422,145.0546707,1145.0,95.0,1245.0,0.0,33.0,30,13.1
Northside Christian College,Northside Christian College,EVERTON PARK,QLD,-27.394113,152.990819,1100.0,84.0,612.0,0.0,45.0,30,13.1
Northside Christian College,Northside Christian College,EVERTON PARK,QLD,-27.394113,152.990819,1145.0,95.0,1245.0,0.0,33.0,30,13.1
Norwood Secondary College,Norwood Secondary College,RINGWOOD,VIC,-37.800473,145.238246,1047.0,67.0,1058.0,1.0,10.0,29,5.7
Nossal High School,Nossal High School,BERWICK,VIC,-38.03906593,145.33631372,1144.0,94.0,828.0,0.0,91.0,36,27.6
Notre Dame College,Notre Dame College,SHEPPARTON,VIC,-36.37470646,145.40763629,1028.0,59.0,1649.0,3.0,12.0,28,4.1
Notre Dame College,Notre Dame College,SHEPPARTON,VIC,-36.37470646,145.40763629,,,,,,28,4.1
Notre Dame College,Notre Dame College,BELLS CREEK,QLD,-26.8170537081985,153.064525126801,1028.0,59.0,1649.0,3.0,12.0,28,4.1
Notre Dame College,Notre Dame College,BELLS CREEK,QLD,-26.8170537081985,153.064525126801,,,,,,28,4.1
Numurkah Secondary College,Numurkah Secondary College,NUMURKAH,VIC,-36.079948,145.446271,928.0,17.0,250.0,9.0,2.0,24,0
Oakleigh Grammar,Oakleigh Grammar,OAKLEIGH,VIC,-37.895907,145.082819,1082.0,79.0,694.0,0.0,80.0,31,4.7
Oakwood School,Oakwood School,CAULFIELD NORTH,VIC,-37.87398,145.034173,974.0,35.0,570.0,4.0,6.0,I/D,I/D
Oberon High School,Oberon High School,OBERON,NSW,-33.701691,149.861132,924.0,16.0,197.0,14.0,10.0,28,4
Oberon High School,Oberon High School,OBERON,NSW,-33.701691,149.861132,1027.0,59.0,1048.0,2.0,14.0,28,4
Oberon High School,Oberon High School,Armstrong Creek,VIC,-38.23066802,144.3640703,924.0,16.0,197.0,14.0,10.0,28,4
Oberon High School,Oberon High School,Armstrong Creek,VIC,-38.23066802,144.3640703,1027.0,59.0,1048.0,2.0,14.0,28,4
Officer Secondary College,Officer Secondary College,OFFICER,VIC,-38.06970435,145.41146304,1011.0,52.0,985.0,2.0,32.0,28,4.2
OneSchool Global Vic,OneSchool Global Vic,MELTON WEST,VIC,-37.6863089083551,144.54225576943,983.0,39.0,541.0,0.0,0.0,31,7.6
Our Lady of Mercy College,Our Lady of Mercy College,HEIDELBERG,VIC,-37.75793,145.067586,1105.0,85.0,1178.0,0.0,28.0,32,9.6
Our Lady of Mercy College,Our Lady of Mercy College,HEIDELBERG,VIC,-37.75793,145.067586,1020.0,56.0,941.0,3.0,10.0,32,9.6
Our Lady of Mercy College,Our Lady of Mercy College,AUSTRALIND,WA,-33.269,115.7482,1105.0,85.0,1178.0,0.0,28.0,32,9.6
Our Lady of Mercy College,Our Lady of Mercy College,AUSTRALIND,WA,-33.269,115.7482,1020.0,56.0,941.0,3.0,10.0,32,9.6
Our Lady of Sion College,Our Lady of Sion College,BOX HILL,VIC,-37.8184,145.13,1102.0,85.0,914.0,0.0,7.0,32,7.8
Ouyen P-12 College,Ouyen P-12 College,OUYEN,VIC,-35.064571,142.322608,952.0,25.0,189.0,6.0,5.0,29,0
Oxley Christian College,Oxley Christian College,CHIRNSIDE PARK,VIC,-37.76293666,145.3043162,1115.0,88.0,827.0,1.0,57.0,34,21.9
Ozford College,Ozford College,MELBOURNE,VIC,-37.8105640957415,144.968596468401,1053.0,69.0,146.0,0.0,100.0,20,0
Padua College,Padua College,MORNINGTON,VIC,-38.2182566625499,145.07200429078,1063.0,73.0,2529.0,1.0,4.0,29,4.6
Padua College,Padua College,MORNINGTON,VIC,-38.2182566625499,145.07200429078,1118.0,89.0,1528.0,1.0,8.0,29,4.6
Padua College,Padua College,KEDRON,QLD,-27.407445,153.025007,1063.0,73.0,2529.0,1.0,4.0,29,4.6
Padua College,Padua College,KEDRON,QLD,-27.407445,153.025007,1118.0,89.0,1528.0,1.0,8.0,29,4.6
Pakenham Secondary College,Pakenham Secondary College,PAKENHAM,VIC,-38.06907933,145.47110079,959.0,28.0,918.0,3.0,27.0,27,1.2
Parade College,Parade College,BUNDOORA,VIC,-37.690178,145.066978,1080.0,79.0,1927.0,1.0,18.0,30,4.8
Parkdale Secondary College,Parkdale Secondary College,MORDIALLOC,VIC,-37.989637,145.094101,1067.0,75.0,1526.0,1.0,17.0,30,5.9
Parkville College,Parkville College,PARKVILLE,VIC,-37.778764,144.942622,,,,,,-,-
Peninsula Grammar,Peninsula Grammar,MOUNT ELIZA,VIC,-38.198174,145.090692,1121.0,89.0,1268.0,1.0,9.0,33,15.1
Penola Catholic College,Penola Catholic College,BROADMEADOWS,VIC,-37.6888,144.92,995.0,45.0,1448.0,1.0,41.0,28,3.1
Peter Lalor Secondary College,Peter Lalor Secondary College,LALOR,VIC,-37.6684189427748,145.013932861792,977.0,37.0,120.0,7.0,27.0,-,-
Plenty River College,Plenty River College,SOUTH MORANG,VIC,-37.64856605,145.0815677,1017.0,54.0,56.0,0.0,2.0,-,-
Plenty Valley Christian College,Plenty Valley Christian College,DOREEN,VIC,-37.613463,145.138791,1111.0,87.0,853.0,0.0,27.0,29,5.1
Portland Secondary College,Portland Secondary College,PORTLAND,VIC,-38.35882225,141.59550333,940.0,21.0,527.0,8.0,3.0,24,0.4
Prahran High School,Prahran High School,WINDSOR,VIC,-37.851621,144.991306,1087.0,81.0,580.0,1.0,44.0,30,5.3
Presbyterian Ladies' College,Presbyterian Ladies' College,BURWOOD,VIC,-37.848946,145.107125,1207.0,99.0,1549.0,0.0,71.0,36,25.9
Presbyterian Ladies' College,Presbyterian Ladies' College,BURWOOD,VIC,-37.848946,145.107125,1148.0,95.0,957.0,5.0,9.0,36,25.9
Presbyterian Ladies' College,Presbyterian Ladies' College,PEPPERMINT GROVE,WA,-31.99433732,115.7675942,1207.0,99.0,1549.0,0.0,71.0,36,25.9
Presbyterian Ladies' College,Presbyterian Ladies' College,PEPPERMINT GROVE,WA,-31.99433732,115.7675942,1148.0,95.0,957.0,5.0,9.0,36,25.9
Preston High School,Preston High School,PRESTON,VIC,-37.740967,145.006408,1108.0,86.0,1133.0,2.0,29.0,29,4.7
Pyramid Hill College,Pyramid Hill College,PYRAMID HILL,VIC,-36.04736,144.113679,975.0,35.0,101.0,7.0,21.0,I/D,I/D
Rainbow P-12 College,Rainbow P-12 College,RAINBOW,VIC,-35.89446757,141.99669972,979.0,37.0,114.0,0.0,9.0,24,2.9
Red Cliffs Secondary College,Red Cliffs Secondary College,RED CLIFFS,VIC,-34.298804,142.195452,906.0,12.0,360.0,16.0,3.0,23,0
Red Rock Christian College,Red Rock Christian College,SUNBURY,VIC,-37.5191,144.706,1061.0,73.0,193.0,2.0,20.0,27,0
Reservoir High School,Reservoir High School,RESERVOIR,VIC,-37.722259,145.029772,990.0,42.0,633.0,7.0,56.0,28,3.8
Richmond High School,Richmond High School,RICHMOND,NSW,-33.600535,150.746715,980.0,38.0,725.0,14.0,25.0,28,6.2
Richmond High School,Richmond High School,RICHMOND,NSW,-33.600535,150.746715,1063.0,73.0,535.0,1.0,42.0,28,6.2
Richmond High School,Richmond High School,RICHMOND,VIC,-37.817503,145.002623,980.0,38.0,725.0,14.0,25.0,28,6.2
Richmond High School,Richmond High School,RICHMOND,VIC,-37.817503,145.002623,1063.0,73.0,535.0,1.0,42.0,28,6.2
Ringwood Secondary College,Ringwood Secondary College,RINGWOOD,VIC,-37.816606,145.239147,1047.0,67.0,1530.0,1.0,35.0,30,7.9
River Nile School,River Nile School,NORTH MELBOURNE,VIC,-37.805092,144.955013,806.0,3.0,107.0,0.0,99.0,-,-
Robinvale College,Robinvale College,ROBINVALE,VIC,-34.58888676,142.78154505,832.0,4.0,239.0,38.0,37.0,23,0
Rochester Secondary College,Rochester Secondary College,ROCHESTER,VIC,-36.35277863,144.69869634,962.0,29.0,314.0,6.0,4.0,27,0.9
Rosebud Secondary College,Rosebud Secondary College,ROSEBUD,VIC,-38.367615,144.887447,982.0,39.0,896.0,3.0,5.0,27,2.2
Rosehill Secondary College,Rosehill Secondary College,NIDDRIE,VIC,-37.7473,144.886,1025.0,58.0,1118.0,1.0,37.0,29,1.7
Rowville Secondary College,Rowville Secondary College,ROWVILLE,VIC,-37.92388682,145.23708852,1025.0,58.0,1832.0,1.0,16.0,25,2.1
Roxburgh College,Roxburgh College,ROXBURGH PARK,VIC,-37.63062884,144.92945915,919.0,15.0,1084.0,1.0,82.0,23,0.7
Rushworth P-12 College,Rushworth P-12 College,RUSHWORTH,VIC,-36.583317,145.014399,887.0,8.0,153.0,16.0,3.0,-,-
