School,Locality,Number of students enrolled in a Vocational Education and Training (VET) certificate,Percentage of VCE students applying for tertiary places through the Victorian Tertiary Admissions Centre (VTAC),Percentage of satisfactory VCE completions,Median VCE study score,Percentage of study scores of 40 and over,ACARA SML ID,Location AGE ID,School AGE ID,Rolled School ID,School Name,Suburb,State,Postcode,School Sector,School Type,Special school,Campus Type,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name
Alphington Grammar School,ALPHINGTON,-,100,100,30,12.4,46316,53338,13338,46316,Alphington Grammar School,ALPHINGTON,VIC,3078,Independent,Combined,0,School Single Entity,-37.780429,145.036174,0,Major Cities,20639390000,20607114513,206071145,Clifton Hill - Alphington,20607,Yarra,206,Melbourne - Inner,27350,Yarra,26203,Northcote (Northern Metropolitan),208,Cooper
Altona College,ALTONA,46,40.6,100,26,3.9,45587,47543,7543,45587,Altona College,ALTONA,VIC,3018,Government,Combined,0,School Single Entity,-37.86152274,144.8172644,0,Major Cities,20278350000,21302134128,213021341,Altona,21302,Hobsons Bay,213,Melbourne - West,23110,Hobsons Bay,28707,Williamstown (Western Metropolitan),215,Gellibrand
Antonine College,PASCOE VALE SOUTH,72,74.6,95,26,3.3,46112,62824,22824,46112,Antonine College,PASCOE VALE SOUTH,VIC,3044,Catholic,Combined,0,School Head Campus,-37.741099,144.942754,0,Major Cities,20466830000,20601110903,206011109,Pascoe Vale South,20601,Brunswick - Coburg,206,Melbourne - Inner,24700,Merri-bek,26603,Pascoe Vale (Northern Metropolitan),239,Wills
Apollo Bay P-12 College,APOLLO BAY,30,63.6,100,30,10.7,45292,49607,9607,45292,Apollo Bay P-12 College,APOLLO BAY,VIC,3233,Government,Combined,0,School Single Entity,-38.753524,143.660507,1,Inner Regional,20134790000,21703147605,217031476,Otway,21703,Colac - Corangamite,217,Warrnambool and South West,21750,Colac Otway,26808,Polwarth (Western Victoria),238,Wannon
Aquinas College,RINGWOOD,183,76.4,99,29,5.1,45947,40747,747,45947,Aquinas College,RINGWOOD,VIC,3134,Catholic,Secondary,0,School Single Entity,-37.82303115,145.2351833,0,Major Cities,20388140000,21103126605,211031266,Ringwood,21103,Maroondah,211,Melbourne - Outer East,24410,Maroondah,27202,Ringwood (North-Eastern Metropolitan),211,Deakin
Ararat Secondary College,ARARAT,47,29.6,89,26,1.2,45523,50588,10588,45523,Ararat Secondary College,ARARAT,VIC,3377,Government,Secondary,0,School Head Campus,-37.28599961,142.9219615,1,Inner Regional,20004070000,21501138623,215011386,Ararat,21501,Grampians,215,North West,20260,Ararat,27308,Ripon (Western Victoria),238,Wannon
Armstrong Creek School,ARMSTRONG CREEK,6,-,-,-,-,52589,85301,85300,52589,Armstrong Creek School,ARMSTRONG CREEK,VIC,3217,Government,Primary,0,School Head Campus,-38.231392,144.36414,0,Major Cities,21340750000,20303148910,203031489,Barwon Heads - Armstrong Creek,20303,Surf Coast - Bellarine Peninsula,203,Geelong,22750,Greater Geelong,27708,South Barwon (Western Victoria),209,Corangamite
Ashwood High School,ASHWOOD,44,72,99,31,8.1,45518,46191,6191,45518,Ashwood High School,ASHWOOD,VIC,3147,Government,Secondary,0,School Single Entity,-37.86409815,145.1034098,0,Major Cities,20442320000,21205131913,212051319,Ashwood - Chadstone,21205,Monash,212,Melbourne - South East,24970,Monash,20206,Ashwood (Southern Metropolitan),207,Chisholm
Assumption College,KILMORE,237,56.9,100,28,2.2,45647,53936,13936,45647,Assumption College,KILMORE,VIC,3764,Catholic,Secondary,0,School Single Entity,-37.301013,144.947629,1,Inner Regional,20631929540,20401105630,204011056,Kilmore - Broadford,20401,Upper Goulburn Valley,204,Hume,24850,Mitchell,22704,Euroa (Northern Victoria),232,McEwen
Auburn High School,HAWTHORN EAST,12,85.9,99,31,8.6,50684,70188,30188,50684,Auburn High School,HAWTHORN EAST,VIC,3123,Government,Secondary,0,School Single Entity,-37.839849,145.044628,0,Major Cities,20070040000,20701115203,207011152,Hawthorn East,20701,Boroondara,207,Melbourne - Inner East,21110,Boroondara,23706,Hawthorn (Southern Metropolitan),226,Kooyong
Ave Maria College,ABERFELDIE,71,97.7,100,31,10.5,45958,40749,749,45958,Ave Maria College,ABERFELDIE,VIC,3040,Catholic,Secondary,0,School Single Entity,-37.756618,144.897964,0,Major Cities,20445930000,20603150120,206031501,Essendon (West) - Aberfeldie,20603,Essendon,206,Melbourne - Inner,25060,Moonee Valley,26107,Niddrie (Western Metropolitan),231,Maribyrnong
Avila College,MOUNT WAVERLEY,84,92.4,99,32,11.5,45976,40750,750,45976,Avila College,MOUNT WAVERLEY,VIC,3149,Catholic,Secondary,0,School Single Entity,-37.874671,145.133255,0,Major Cities,20439040000,21205132314,212051323,Mount Waverley - North,21205,Monash,212,Melbourne - South East,24970,Monash,20206,Ashwood (Southern Metropolitan),207,Chisholm
Bacchus Marsh College,BACCHUS MARSH,142,57.4,97,24,0.3,45525,50083,10083,45525,Bacchus Marsh College,BACCHUS MARSH,VIC,3340,Government,Secondary,0,School Single Entity,-37.68562875,144.4330584,0,Major Cities,20457840000,21304135301,213041353,Bacchus Marsh,21304,Melton - Bacchus Marsh,213,Melbourne - West,25150,Moorabool,22608,Eureka (Western Victoria),219,Hawke
Baimbridge College,HAMILTON,73,30.3,85,26,0,45552,55916,15916,45552,Baimbridge College,HAMILTON,VIC,3300,Government,Secondary,0,School Single Entity,-37.733311,142.014634,1,Inner Regional,20540660000,21701142120,217011421,Hamilton (Vic.),21701,Glenelg - Southern Grampians,217,Warrnambool and South West,26260,Southern Grampians,24408,Lowan (Western Victoria),238,Wannon
