Ranking,Region,Education Index 2022,MapName
176,Mauritania,0.385,Mauritania
177,Afghanistan,0.381,Afghanistan
178,Eritrea,0.373,Eritrea
179,Sierra Leone,0.367,Sierra Leone
180,Pakistan,0.366,Pakistan
180,Sudan,0.366,Sudan
182,Guinea,0.363,Guinea
183,Ethiopia,0.355,Ethiopia
184,Djibouti,0.352,Djibouti
185,Senegal,0.349,Senegal
186,South Sudan,0.346,South Sudan
187,Central African Republic,0.336,Central African Republic
188,Yemen,0.313,Yemen
189,Chad,0.304,Chad
190,Burkina Faso,0.302,Burkina Faso
191,Somalia,0.274,Somalia
192,Mali,0.248,Mali
193,Niger,0.243,Niger
